ACTUACIONES DE EMERGENCIA PARA LA RESTAURACIÓN DE DAÑOS POR INCENDIOS FORESTALES EN EL PERÍODO 2004-2014,,,,,,,,,,
Año incendio,Denominación incendio,Provincia,CCAA,Fecha incendio,TTMM INCENDIO,FECHA DE ACCIÓN DE LA RESTAURACIÓN,INVERSION DE LAS ACCIONES (€),SUPERFICIERESTAURADA (HA),% SUPERFICIE RESTAURADA (HA)/SUPERFICIE FORESTAL AFECTADA (HA),ACCIONES REALIZADAS
2012,I. MORATALLA,MURCIA,MURCIA,1/07/2012,OTRA PROVINCIA (HELLÍN- ALBACETE),14/03/2013,"728.650,99",,,"­ 496,55 Ha de tratamientos selvícolas­ 543,87 m3 de albarradas de madera y de mampostería hidráulica­ 70 m de mejora de pistas­ 2 cartel de obra colocado"
2009,I. TURRE 2009,ALMERÍA,ANDALUCÍA,14/07/200923/07/2009,TURRE,04/12/200921/10/2010,"1.861.672,00","200,88",#REF!,"­177,69 Ha de tratamientos selvícolas­114,03 Ha de repoblación forestal­1.018,00 m3 de muros de contención­1.309,47 m3 de diques y escolleras­39.453,00 m de apertura de senderos ­22,92 Ha de apertura de cortafuegos­Acondicionamiento de puntos de agua-Construcción de un mirador"
2009,"I. ALIAGA, I. ALLOZA, I. CORBALÁN 2009",TERUEL,ARAGÓN,22/07/2009,TERUEL,4/12/2009,"4.305.536,00","913,53",#REF!,"­911,53 Ha de tratamientos selvícolas (incluye construcción de fajinas) ­Producción de planta para repoblación ­2 Ha de mejora de pastizales­Actuaciones de sanidad forestal ­Fomento de la biodiversidad de fauna"
2009,I. FAYÓN I. VALMADRID 2009,ZARAGOZA,ARAGÓN,18/07/0929/07/09,MEQUINENZAJAULÍN,4/12/2009,"1.058.920,00","211,53",#REF!,"­ 211,53 Ha de tratamientos selvícolas­ 221,53 Ha de fajinas­ Producción de 360.171 ud de planta para repoblación forestal"
2009,I. SAN GREGORIO 2009,ZARAGOZA,ARAGÓN,18/08/2009,ZARAGOZA,21/10/2010,"1.200.000,00","272,37",#REF!,"­263,95 Ha de tratamientos selvícolas (incluye construcción de fajinas) ­8,42 Ha de repoblación forestal­1715,90 m de mejora de pistas­Fomento de la biodiversidad de fauna"
2009,I. ISLA DE LA PALMA 2009,SANTA CRUZ DE TENERIFE,CANARIAS,31/07/2009,VILLA DE MAZO,04/12/200921/10/2010,"2.198.239,99","53,43",#REF!,"­53,43 Ha de tratamientos selvícolas ­6.589,85 m de construcción de fajinas ­1.672,78 m3 de albarradas­1.395,00 m3 de diques ­5.150,00 m de mejora de pistas forestales­Rehabilitación de zonas recreativas y reposición de la señalización afectada por el fuego"
2009,I. POYATOS E I. LAS MAJADAS 2009,CUENCA,CASTILLA LA MANCHA,21/07/2009,POYATOSLAS MAJADAS,04/12/200921/10/2010,"2.723.978,00","737,11",#REF!,"­737,11 Ha de tratamientos selvícolas­2,22 Ha de repoblación forestal­51,80 Ha de construcción de fajinas­51.860,00 m de aperura de vías de saca­684 m de cerramiento con malla ganadera­Construcción de 220 m de pasarela de madera­Acondicionaminto de vivero­Fomento de la biodiversidad de fauna"
2009,I. ARENAS DE SAN PEDRO 2009,ÁVILA,CASTILLA Y LEÓN,28/07/2009,ARENAS DE SAN PEDRO,04/12/200921/10/2010,"2.828.477,00","1.115,62",#REF!,"­526,44 Ha de tratamientos selvícolas­584,48 Ha de repoblación forestal ­4,70 Ha de fajinas­Construcción de 2 depósitos de agua con fuente­1.000 m de cerramiento con malla cinegética­ Construcción de 10 majanos para conejos­ Construcción de 2 charcas para conejos"
2009,I. HORTA DE SANT JOAN 2009,TARRAGONA,CATALUÑA,20/07/2009,HORTA DE SANT JOAN,04/12/200921/10/2010,"963.532,98","324,91",#REF!,"­324,90 Ha de tratamientos selvícolas (incluye construcción de fajinas) ­Construcción de 36 majanos para conejos­Colocación de 8 cajas nido­Repoblación de conejos"
2009,I. NUÑOMORAL 2009,CÁCERES,EXTREMADURA,25/07/2009,NUÑOMORAL,04/12/200921/10/2010,"2.515.297,00","279,38",#REF!,"­210,63 Ha de tratamientos selvícolas­68,75 Ha de repoblación forestal­1.735 m de fajinas ­ 449,54 m3 de muros de contención­ 97,32 m3 de diques y muros ­ 8,98 Ha de apertura de cortefuegos­35.000 m de mejora de pistas­42.209,50 m de apertura de senda­Construcción de 3 depósitos de agua.­Construcción de 3 zonas de áreas recreativas"
