ano,idprov,province,inmigrations,emigrations,net_migration
1990,38,Santa Cruz de Tenerife,5633,5220,413
1990,39,Cantabria,3265,3213,52
1990,40,Segovia,1594,1980,-386
1990,41,Sevilla,11565,8635,2930
1990,42,Soria,954,1365,-411
1990,43,Tarragona,7747,4809,2938
1990,44,Teruel,1515,2185,-670
1990,45,Toledo,6143,5333,810
1990,46,Valencia,12984,10726,2258
1990,47,Valladolid,4428,4941,-513
1990,48,Vizcaya,6048,10562,-4514
1990,49,Zamora,1817,2945,-1128
1990,50,Zaragoza,6400,5262,1138
1990,51,Ceuta,1030,1148,-118
1990,52,Melilla,1207,1140,67
1991,01,Álava,2013,1589,424
1991,02,Albacete,2497,2376,121
1991,03,Alicante,6713,6912,-199
1991,04,Almería,2793,2583,210
1991,05,Ávila,991,1466,-475
1991,06,Badajoz,4052,4107,-55
1991,07,Baleares,7555,7061,494
1991,08,Barcelona,13620,20713,-7093
1991,09,Burgos,1743,2521,-778
1991,10,Cáceres,2706,3527,-821
1991,11,Cádiz,5032,6160,-1128
1991,12,Castellón,2732,1787,945
1991,13,Ciudad Real,2849,2908,-59
1991,14,Córdoba,4504,4456,48
1991,15,A Coruña,3742,3142,600
1991,16,Cuenca,1320,1598,-278
1991,17,Girona,4292,3501,791
1991,18,Granada,5934,4736,1198
1991,19,Guadalajara,1874,1208,666
1991,20,Guipúzcoa,1646,3894,-2248
1991,21,Huelva,1734,1845,-111
1991,22,Huesca,1625,1356,269
1991,23,Jaén,4194,4737,-543
1991,24,León,1684,3122,-1438
1991,25,Lleida,2116,1951,165
1991,26,La Rioja,1528,1433,95
1991,27,Lugo,1469,1686,-217
1991,28,Madrid,21220,21504,-284
1991,29,Málaga,6887,5096,1791
1991,30,Murcia,5947,4334,1613
1991,31,Navarra,2840,1939,901
1991,32,Ourense,1215,1699,-484
1991,33,Asturias,2942,2883,59
1991,34,Palencia,975,1413,-438
1991,35,Las Palmas,5901,5594,307
1991,36,Pontevedra,2620,2685,-65
1991,37,Salamanca,2430,2495,-65
1991,38,Santa Cruz de Tenerife,3985,3454,531
1991,39,Cantabria,1986,1824,162
1991,40,Segovia,920,1139,-219
1991,41,Sevilla,7802,5321,2481
1991,42,Soria,605,696,-91
1991,43,Tarragona,5737,2979,2758
1991,44,Teruel,991,1447,-456
1991,45,Toledo,3957,2733,1224
1991,46,Valencia,8335,6410,1925
1991,47,Valladolid,2914,2575,339
1991,48,Vizcaya,3377,6312,-2935
1991,49,Zamora,955,1401,-446
1991,50,Zaragoza,3979,3349,630
1991,51,Ceuta,1039,981,58
1991,52,Melilla,1026,905,121
1992,01,Álava,2661,2302,359
1992,02,Albacete,3427,2824,603
1992,03,Alicante,9544,9161,383
1992,04,Almería,4224,3740,484
1992,05,Ávila,1476,2170,-694
1992,06,Badajoz,5541,5597,-56
1992,07,Baleares,9373,8755,618
1992,08,Barcelona,18205,28217,-10012
1992,09,Burgos,2725,3289,-564
1992,10,Cáceres,4079,4462,-383
1992,11,Cádiz,6155,7452,-1297
1992,12,Castellón,3723,2710,1013
1992,13,Ciudad Real,3795,4010,-215
1992,14,Córdoba,5066,5632,-566
1992,15,A Coruña,5562,4224,1338
1992,16,Cuenca,1677,2444,-767
1992,17,Girona,6404,5434,970
1992,18,Granada,6889,6282,607
1992,19,Guadalajara,3201,1668,1533
1992,20,Guipúzcoa,2908,5073,-2165
1992,21,Huelva,2024,2337,-313
