Fecha...CCAA,EspaÃ.a,muertes_media
21/10/2020,140,128.14
22/10/2020,169,134.29
23/10/2020,160,140.29
24/10/2020,143,145.71
25/10/2020,150,150.29
26/10/2020,161,153.29
27/10/2020,194,159.57
28/10/2020,178,165
29/10/2020,197,169
30/10/2020,173,170.86
31/10/2020,156,172.71
01/11/2020,159,174
02/11/2020,186,177.57
03/11/2020,186,176.43
04/11/2020,200,179.57
05/11/2020,163,174.71
06/11/2020,144,170.57
07/11/2020,102,162.86
08/11/2020,61,148.86
