Canción,Intérprete(s),Fecha,Semanas en el top,Idioma,Tipo intérprete (H/M/grupo/colaboración),Estilo
Mama,Jean Jacques,17/05/1969,7,es,Hombre,Pop
Get Back,The Beatles,5/07/1969,1,en,Grupo,Pop
Mama,Jean Jacques,12/07/1969,1,es,Hombre,Pop
María Isabel,Los Payos,19/07/1969,5,es,Grupo,Pop latino
I'm Going Home,Ten Years After,23/08/1969,1,en,Grupo,blues
María Isabel,Los Payos,30/08/1969,3,es,Grupo,Pop latino
The Ballad Of John & Yoko,The Beatles,20/09/1969,1,en,Grupo,Pop
María Isabel,Los Payos,27/09/1969,2,es,Grupo,Pop latino
In The Ghetto,Elvis Presley,11/10/1969,2,en,Hombre,Rock
La charanga,Juan Pardo,25/10/1969,1,es,Hombre,Pop
In The Year 2525,Zager & Evans,1/11/1969,2,en,Grupo,folk
"Sugar, Sugar",The Archies,15/11/1969,7,en,Grupo,garage
Paxarinos,Víctor Manuel,3/01/1970,6,es,Hombre,Pop
Venus,Shocking Blue,14/02/1970,6,en,Grupo,rock
Gwendolyne,Julio Iglesias,28/03/1970,9,es,Hombre,Pop latino
Un rayo de sol,Los Diablos,30/05/1970,15,es,Grupo,pop
Corpiño xeitoso,Andrés do Barro,12/09/1970,2,gl,Hombre,autor
El cóndor pasa,Simon & Garfunkel,26/09/1970,6,en,Grupo,Folk
Yellow River,Christie,7/11/1970,1,en,Grupo,Rock
N'a veiriña do mar,María Ostiz,14/11/1970,3,gl,Mujer,folk
Quiero abrazarte tanto,Víctor Manuel,5/12/1970,2,es,Hombre,Pop
"Te quiero, te quiero",Nino Bravo,19/12/1970,9,es,Hombre,Pop
Candida,Dawn,20/02/1971,1,en,Grupo,Pop
My Sweet Lord,George Harrison,27/02/1971,8,en,Hombre,Rock
Qué será,José Feliciano,24/04/1971,1,es,Hombre,pop latino
Love Story,Francis Lai,1/05/1971,3,en,Hombre,ligera
Baby Jump,Mungo Jerry,22/05/1971,2,en,Grupo,Rock
En mis sueños,Blume,5/06/1971,2,es,Hombre,Rock
Borriquito,Peret,19/06/1971,3,es,Hombre,Rumba
"Sing, Sing, Barbara",Laurent & The Mardi Gras,10/07/1971,3,en,Grupo,rock
Brown Sugar,The Rolling Stones,31/07/1971,2,en,Grupo,Rock
Yo confieso,Mari Trini,14/08/1971,1,es,Mujer,balada
Historia de amor (Love Story),Astrud Gilberto,21/08/1971,1,es,Mujer,Jazz
Carmen,Trébol,28/08/1971,2,es,Grupo,pop
Ayúdame,Tony Ronald,11/09/1971,5,es,Hombre,pop
Mammy Blue,Joel Dayde,16/10/1971,5,en,Hombre,rock
Get It On,T.Rex,20/11/1971,2,en,Grupo,Rock
Maggie May,Rod Stewart,4/12/1971,2,en,Hombre,Rock
Pandeirada,Andrés do Barro,18/12/1971,1,gl,Hombre,autor
Manda Christmas,Los diablos,25/12/1971,2,es,Grupo,pop
El chico de la armónica,Micky,8/01/1972,1,es,Hombre,Rock
The Witch Queen Of New Orleans,Redbone,15/01/1972,2,en,Grupo,Rock
The Mouth Organ Boy,Micky,29/01/1972,3,es,Hombre,Rock
Hello Buddy,The Tremeloes,19/02/1972,1,en,Grupo,beat
El refugio,Miguel Ríos,26/02/1972,1,es,Hombre,Rock
Soleil Soleil,Middle of the Road,4/03/1972,1,fr,Grupo,pop
Yo no soy esa,Mari Trini,11/03/1972,6,es,Mujer,balada
Un beso y una flor,Nino Bravo,22/04/1972,4,es,Hombre,Pop
I love you baby,Tony Ronald,20/05/1972,1,en,Hombre,pop
Ve con él,Basilio,27/05/1972,2,es,Hombre,balada
"Oh, Oh, July",Los Diablos,10/06/1972,5,es,Grupo,pop
Adiós tristezas,Micky,15/07/1972,4,es,Hombre,Rock
Mátame,Arena caliente,12/08/1972,2,es,Grupo,pop
Por una mujer,Julio Iglesias,26/08/1972,1,es,Hombre,Pop latino
Splendid Time,Marisol,2/09/1972,2,es,Mujer,balada
Take Me Back 'Ome,Slade,16/09/1972,2,en,Grupo,Heavy metal
Cantares,Miguel Ríos,30/09/1972,1,es,Hombre,Rock
"Amor, háblame dulcemente",Andy Williams,7/10/1972,10,es,Hombre,balada
Woman To Woman,Joe Cocker,16/12/1972,3,en,Hombre,Blues
Por si tú quieres saber,Jairo,6/01/1973,2,es,Hombre,folk
"Amor, amar",Camilo Sesto,20/01/1973,11,es,Hombre,Balada
"Pardon me, sir",Joe Cocker,7/04/1973,1,en,Hombre,Blues
Charly,Santabárbara,14/04/1973,1,es,Hombre,Pop
"Pardon me, Sir",Joe Cocker,21/04/1973,1,en,Hombre,Blues
Charly,Santabárbara,28/04/1973,2,es,Hombre,Pop
Forever and Ever,Demis Roussos,12/05/1973,6,en,Grupo,pop
Get Down,Gilbert O'Sullivan,23/06/1973,4,en,Hombre,rock
Eva María,Fórmula V,21/07/1973,2,es,Grupo,pop
Todo por nada,Camilo Sesto,4/08/1973,2,es,Hombre,Balada
"América, América",Nino Bravo,18/08/1973,15,es,Hombre,Pop
La estrella de David,Juan Bau,1/12/1973,6,es,Hombre,balada
48 Crash,Suzi Quatro,12/01/1974,3,en,Mujer,Rock
"Una, dos y tres",Patxi Andión,2/02/1974,1,es,Hombre,autor
Photograph,Ringo Starr,9/02/1974,2,en,Hombre,Rock
La distancia,Roberto Carlos,23/02/1974,9,es,Hombre,Balada
The Ballroom Blitz,The Sweet,27/04/1974,3,en,Grupo,rock
Devil Gate Drive,Suzi Quatro,18/05/1974,1,en,Mujer,Rock
"Someday, Somewhere",Demis Roussos,25/05/1974,4,en,Hombre,pop
Ayudadme,Camilo Sesto,22/06/1974,3,es,Hombre,Balada
Tómame o déjame,Mocedades,13/07/1974,11,es,Grupo,Folk
Conversaciones conmigo mismo,Juan Pardo,28/09/1974,12,es,Hombre,Pop
Todo el tiempo del mundo,Manolo Otero,21/12/1974,1,es,Hombre,balada
Actitudes,Roberto Carlos,28/12/1974,5,es,Hombre,Balada
Hi-Jack,Barrabás,1/02/1975,2,en,Grupo,Soul
Neniña (viste pantalón vaquero),Pepe Domingo Castaño,15/02/1975,1,es,Hombre,balada
Quédate,Miguel Gallardo,22/02/1975,4,es,Hombre,Balada
I Can Help,Billy Swan,22/03/1975,1,en,Hombre,country
Quédate,Miguel Gallardo,29/03/1975,1,es,Hombre,Balada
"You're The First, The Last, My Everything",Barry White,5/04/1975,4,en,Hombre,R&B
El Bimbó,Georgie Dann,3/05/1975,3,es,Hombre,pop
Ven otra vez,Toni Artis,24/05/1975,3,es,Hombre,Balada
Caballo negro,Manolo Sanlúcar,14/06/1975,1,en,Hombre,instrumental
Y te vas,José Luis Perales,21/06/1975,4,es,Hombre,Balada
Melina,Camilo Sesto,19/07/1975,6,es,Hombre,Balada
Paloma blanca,George Baker Selection,30/08/1975,1,en,Grupo,Pop-rock
"Saca el güisky, Cheli",Desmadre 75,6/09/1975,5,es,Grupo,Humorístico
Feelings,Morris Albert,11/10/1975,1,en,Hombre,Pop
El solitario,Nubes grises,18/10/1975,2,es,Grupo,pop
The Hustle,Van McCoy & The Soul City Symphony,1/11/1975,1,en,Grupo,Disco
One Of These Nights,The Eagles,8/11/1975,2,en,Grupo,Rock
Secretaria,Mocedades,22/11/1975,2,es,Grupo,Folk
"Amor, amor",Lolita,6/12/1975,1,es,Mujer,flamenco
"Vete, vete",Daniel Velázquez,13/12/1975,2,es,Hombre,pop
Que no soy yo,Joan Baptista Humet,27/12/1975,1,es,Hombre,autor
Hoy tengo ganas de ti,Miguel Gallardo,3/01/1976,3,es,Hombre,Balada
Natacha y yo,Juan Bau,24/01/1976,1,es,Hombre,balada
Jamás,Camilo Sesto,31/01/1976,1,es,Hombre,Balada
Quisiera decir tu nombre,José Luis Perales,7/02/1976,3,es,Hombre,Balada
Sabato pomeriggio,Claudio Baglioni,28/02/1976,1,it,Hombre,pop
Disco Stomp,Hamilton Bohannon,6/03/1976,1,en,Hombre,disco
Propuesta,Roberto Carlos,13/03/1976,3,es,Hombre,Balada
Júrame,Juan Camacho,3/04/1976,1,es,Hombre,balada
Si no te amase,Junior,10/04/1976,2,es,Hombre,pop
Esa eres tú,Danny Daniel,24/04/1976,4,es,Hombre,balada
Adiós,Tony Landa,22/05/1976,2,es,Hombre,balada
Échame a mí la culpa,Albert Hammond,5/06/1976,1,es,Hombre,Pop
Getsemaní,Camilo Sesto,12/06/1976,1,es,Hombre,Balada
"Háblame del mar, marinero",Marisol,19/06/1976,1,es,Mujer,balada
El sur,Los Puntos,26/06/1976,1,es,Grupo,pop
Quién compra una canción,Sergio y Estíbaliz,3/07/1976,2,es,Grupo,folk
Europa (Earth's cry Heaven's smile),Santana,17/07/1976,2,Instrumental,Grupo,Rock
Sólo tú,Camilo Sesto,31/07/1976,2,es,Grupo,Balada
Tú y yo,Cecilia,14/08/1976,2,es,Mujer,autor
Si tú fueras mi mujer,Lorenzo Santamaría,28/08/1976,1,es,Hombre,balada
O tú o nada,Pablo Abraira,4/09/1976,2,es,Hombre,balada
Fantasía,Juan Bau,18/09/1976,4,es,Hombre,balada
Nada va a cambiar el mundo,Los Ángeles,16/10/1976,2,es,Grupo,pop
"No, no hay nadie más",Ángela Carrasco,30/10/1976,1,es,Mujer,Balada
Dónde están tus ojos negros,Santabárbara,6/11/1976,3,es,Grupo,Pop
De amor ya no se muere,Gianni Bella,27/11/1976,1,es,Mujer,balada
Don't Go Breaking My Heart,Elton John y Kiki Dee,4/12/1976,2,en,Grupo,Pop rock
Libertad sin ira,Jarcha,18/12/1976,3,es,Grupo,Folk
Terciopelo,Joan Baptista Humet,8/01/1977,1,es,Hombre,autor
Memorias,Camilo Sesto,15/01/1977,4,es,Hombre,Balada
Otro ocupa mi lugar,Miguel Gallardo,12/02/1977,5,es,Hombre,Balada
If You Leave Me Now,Chicago,19/03/1977,1,en,Grupo,Rock
Y te amaré,Ana & Johnny,26/03/1977,3,es,Grupo,balada
Ella,Luis Fierro,16/04/1977,1,es,Hombre,balada
Si...,José Luis Perales,23/04/1977,2,es,Hombre,Balada
Gavilán o paloma,Pablo Abraira,7/05/1977,4,es,Hombre,balada
Sólo era un niño,Mocedades,4/06/1977,1,es,Grupo,Folk
Linda,Miguel Bosé,11/06/1977,3,es,Hombre,Pop latino
Morir al lado de mi amor,Demis Roussos,2/07/1977,1,es,Hombre,Pop
Eres toda una mujer,Albert Hammond,9/07/1977,2,es,Hombre,Pop
Mi buen amor,Camilo Sesto,23/07/1977,7,es,Hombre,Balada
Te quiero con locura,Mari Trini,10/09/1977,2,es,Mujer,balada
Desnúdate,Miguel Gallardo,24/09/1977,1,es,Hombre,Balada
Cisne cuello negro,Basilio,1/10/1977,4,es,Hombre,balada
Rockollection (part 1),Laurent Voulzy,29/10/1977,3,es,Hombre,Pop rock
Credo,Elsa Baeza,19/11/1977,3,es,Mujer,pop
Give a Little Bit,Supertramp,10/12/1977,3,en,Grupo,Rock
Bellísimo,Gonzalo,31/12/1977,3,es,Hombre,pop
Terminado,Albert Hammond,21/01/1978,2,es,Hombre,Pop
Si me amaras,Albert Hammond,4/02/1978,1,es,Hombre,Pop
Llamarada,Lorenzo Santamaría,11/02/1978,3,es,Hombre,balada
Y no,Camilo Sesto,4/03/1978,4,es,Hombre,Balada
Abrázame y quiéreme,Paolo Salvatore,1/04/1978,1,,Hombre,Pop
Niña,Sandro Giacobbe,8/04/1978,1,es,Hombre,balada
Amor mío ¿Cómo estás?,Miguel Bosé,15/04/1978,3,es,Hombre,Pop latino
Stayin' Alive,Bee Gees,6/05/1978,1,en,Grupo,Pop
Cara de gitana,Daniel Magal,13/05/1978,2,es,Hombre,autor
Necesito un trago,Tequila,27/05/1978,1,es,Grupo,Rock
Fue tan poco tu cariño,Rocío Dúrcal,3/06/1978,1,es,Mujer,Ranchera
Gorrión,Miguel Gallardo,10/06/1978,3,es,Hombre,Balada
El boxeador,Laredo,1/07/1978,1,es,Grupo,pop
Sólo tú,Matia Bazar,8/07/1978,2,es,Grupo,pop
Anna,Miguel Bosé,22/07/1978,1,es,Hombre,Pop latino
Night Fever,Bee Gees,29/07/1978,2,en,Grupo,Pop
Rivers Of Babylon,Boney M.,12/08/1978,4,en,Hombre,Disco
¿Quién te cantará?,Mocedades,9/09/1978,1,es,Grupo,Folk
Esperanzas,Pecos,16/09/1978,4,es,Grupo,Balada
Espinita,Albert Hammond,14/10/1978,1,es,Hombre,Pop
Got A Feeling,Patrick Juvet,21/10/1978,1,en,Hombre,disco
FM (No Static at All),Steely Dan,28/10/1978,2,en,Hombre,jazz rock
You're the One that I Want,John Travolta & Olivia Newton-John,11/11/1978,3,en,Colaboración,pop
Tú,Umberto Tozzi,2/12/1978,2,es,Hombre,Pop-rock
Rasputin,Boney M.,16/12/1978,1,en,Grupo,Disco
Terciopelo y fuego,Falcons,23/12/1978,5,es,Grupo,R&B
It's Downtown,New Trolls,27/01/1979,1,,Grupo,rock
One Chain (Don't make no prison),Santana,3/02/1979,1,en,Hombre,Rock
Acordes,Pecos,10/02/1979,1,es,Grupo,Balada
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,17/02/1979,2,en,Grupo,Pop
Y.M.C.A.,Village People,3/03/1979,2,en,Grupo,disco
El amor de mi vida,Camilo Sesto,17/03/1979,2,es,Hombre,Balada
Da Ya Think I'm Sexy?,Rod Stewart,31/03/1979,1,en,Hombre,Rock
Too Much Heaven,Bee Gees,7/04/1979,8,en,Grupo,Pop
Una historia,Triana,2/06/1979,3,es,Grupo,Flamenco
Tragedy,Bee Gees,23/06/1979,1,en,Grupo,Pop
Chiquitita,ABBA,30/06/1979,1,en,Grupo,Pop
Born to be Alive,Patrick Hernández,7/07/1979,2,en,Hombre,disco
Quién será,Camilo Sesto,21/07/1979,2,es,Hombre,Balada
"Super, Superman",Miguel Bosé,4/08/1979,2,en,Hombre,Pop latino
Gloria,Umberto Tozzi,18/08/1979,2,es,Hombre,Pop-rock
Soy un corazón tendido al sol,Víctor Manuel,1/09/1979,2,es,Hombre,Pop
El amor,José Luis Perales,15/09/1979,3,es,Hombre,Balada
No lastimes más,Rocío Dúrcal,6/10/1979,2,es,Mujer,Ranchera
Lady Writer,Dire Straits,20/10/1979,1,en,Grupo,Rock
Agapimú,Ana Belén,27/10/1979,3,es,Mujer,Bolero
Me vuelvo loco,Tequila,17/11/1979,4,es,Grupo,Rock
Sin amor,Iván,15/12/1979,3,es,Hombre,pop
Man Gave Name to all the Animals,Bob Dylan,5/01/1980,1,en,Hombre,Rock
La culpa ha sido mía,Camilo Sesto,12/01/1980,2,es,Hombre,Balada
Háblame de ti,Pecos,26/01/1980,4,es,Grupo,Balada
Como yo te amo,Rocío Jurado,23/02/1980,1,es,Mujer,Flamenco
Bailad,Red de San Luis,1/03/1980,4,es,Grupo,pop
¿Quién puso más?,Víctor Manuel,29/03/1980,1,es,Hombre,Pop
Memorize Your Number,Leif Garrett,5/04/1980,1,en,Hombre,Pop-rock
Aire,Pedro Marín,12/04/1980,2,es,Hombre,pop
Desde mi libertad,Ana Belén,26/04/1980,1,es,Mujer,Bolero
Desire,Andy Gibb,3/05/1980,4,en,Hombre,Disco
Morir de amor,Miguel Bosé,31/05/1980,3,es,Hombre,Pop latino
Tu frialdad,Triana,21/06/1980,3,es,Grupo,Flamenco
Ven,Paolo Salvatore,12/07/1980,1,,Hombre,Pop
Hey!,Julio Iglesias,19/07/1980,2,es,Hombre,Pop latino
Santa Lucía,Miguel Ríos,2/08/1980,1,es,Hombre,Rock
Dime que me quieres,Tequila,9/08/1980,5,es,Grupo,Rock
Can't Stop the Music,Village People,13/09/1980,1,en,Grupo,disco
Te amaré,Miguel Bosé,20/09/1980,3,es,Hombre,Pop latino
Shandi,Kiss,11/10/1980,1,en,Mujer,Metal
Emotional Rescue,The Rolling Stones,18/10/1980,2,en,Grupo,Rock
My Turn to Love You,Eddy Grant,1/11/1980,1,en,Hombre,reggae
Xanadu,Olivia Newton-John,8/11/1980,3,en,Mujer,Pop
Lloras,Don McLean,29/11/1980,2,es,Hombre,Folk
Woman In Love,Barbra Streisand,13/12/1980,1,en,Mujer,Pop
Perdóname,Camilo Sesto,20/12/1980,1,es,Hombre,Balada
Don't Stand so Close to Me,The Police,27/12/1980,1,en,Grupo,New wave
Querer y perder,Dyango,3/01/1981,1,es,Hombre,balada
(Just Like) Starting Over,John Lennon,10/01/1981,1,en,Hombre,Pop
Qué será,Ana Belén,17/01/1981,1,es,Mujer,Bolero
Señor,Pecos,24/01/1981,2,es,Grupo,Balada
Lady,Kenny Rogers,7/02/1981,1,en,Hombre,country
Another one Bites the Dust,Queen,14/02/1981,1,en,Grupo,Rock
No llores por mí Argentina,Paloma San Basilio,21/02/1981,1,es,Hombre,Lírica
Johnny and Mary,Robert Palmer,28/02/1981,4,en,Hombre,Rock
Las chicas son guerreras,Coz,28/03/1981,1,es,Grupo,Rock
No me hables,Juan Pardo,4/04/1981,1,es,Hombre,Pop
Everybody's got to Learn Sometime,The Korgis,11/04/1981,1,en,Grupo,New wave
Todo se derrumbó dentro de mí,Emmanuel,18/04/1981,1,es,Hombre,pop latino
Te quiero tanto,Iván,25/04/1981,1,es,Hombre,pop
The Best of Times,Styx,2/05/1981,1,en,Hombre,rock
Te quiero,José Luis Perales,9/05/1981,2,es,Hombre,Balada
Amar es algo más,"José Luis Rodríguez ""El Puma""",23/05/1981,1,es,Hombre,Balada
Rapture,Blondie,30/05/1981,1,en,Grupo,New wave
I Surrender,Rainbow,6/06/1981,1,en,Grupo,Heavy metal
Caperucita feroz,Orquesta Mondragón,13/06/1981,1,en,Grupo,Pop-rock
Something 'Bout you Baby I Like,Status Quo,20/06/1981,1,en,Grupo,Rock
Looking For Clues,Robert Palmer,27/06/1981,1,en,Hombre,Rock
Stars on 45 (part 1),Stars on 45,4/07/1981,2,en,Mujer,Disco
Jugando a vivir,Miguel Ríos,18/07/1981,1,es,Hombre,Rock
Una noche de amor desesperada,Triana,25/07/1981,1,es,Grupo,Flamenco
De niña a mujer,Julio Iglesias,1/08/1981,1,es,Hombre,Pop latino
Hands Up (Give Me Your Heart),Ottawan,8/08/1981,1,en,Grupo,Disco
No hago otra cosa que pensar en ti,Joan Manuel Serrat,15/08/1981,3,es,Hombre,Trova
Bette Davis Eyes,Kim Carnes,5/09/1981,1,en,Hombre,country
Pavo real,"José Luis Rodríguez ""El Puma""",12/09/1981,1,es,Hombre,Balada
Ma quale idea,Pino D'Angiò,19/09/1981,2,it,Hombre,italodisco
"Tú, sólo tú",Bertín Osborne,3/10/1981,2,es,Hombre,Balada
El baile de los pajaritos,María Jesús y su acordeón,17/10/1981,1,es,Mujer,pasodoble
Stars on 45 (part 2),Stars on 45,24/10/1981,1,en,Mujer,Disco
Start me Up,The Rolling Stones,31/10/1981,1,en,Grupo,Rock
Hold On Tight,Electric Light Orchestra,7/11/1981,1,en,Grupo,pop
Salta!!,Tequila,14/11/1981,2,es,Grupo,Rock
Márchate ya,Miguel Bosé,28/11/1981,2,es,Hombre,Pop latino
Amor no me ignores,Camilo Sesto,12/12/1981,1,es,Hombre,Balada
Juntos,Paloma San Basilio,19/12/1981,1,es,Mujer,Lírica
Champú de huevo,Tino Casal,26/12/1981,1,es,Hombre,Pop
No puedo enamorarme de ti,Antonio Flores,2/01/1982,1,es,Hombre,Rock
Va a estallar el obús,Obús,9/01/1982,1,es,Grupo,Metal
We Kill the World (Don't Kill the World),Boney M.,16/01/1982,1,en,Grupo,Disco
Latino,Francisco,23/01/1982,1,es,Hombre,pop
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,30/01/1982,1,en,Hombre,Rock
Si la vieras con mis ojos,Dyango,6/02/1982,1,es,Hombre,balada
Que no lastimen tu corazón,Pecos,13/02/1982,1,es,Grupo,Balada
(Out Here) On my Own,Nikka Costa,20/02/1982,1,en,Mujer,funk
Souvenir,OMD,27/02/1982,1,en,Grupo,electronic
Como una ola,Rocío Jurado,6/03/1982,2,es,Mujer,Flamenco
Frente al amor,María Jiménez,20/03/1982,1,,Mujer,Rumba
Some Folks (Come Bring Your Love to Me),Street Boys,27/03/1982,1,en,Grupo,pop
One of Us,ABBA,3/04/1982,1,en,Grupo,Pop
La ladrona,Paolo Salvatore,10/04/1982,1,es,Hombre,Pop
Los rockeros van al infierno,Barón Rojo,17/04/1982,2,es,Grupo,Metal
A la porra la sartén,Carmín,1/05/1982,1,es,Grupo,Tecno pop
Bésame tonta,Orquesta Mondragón,8/05/1982,1,es,Grupo,Pop-rock
Me colé en una fiesta,Mecano,15/05/1982,1,es,Grupo,Pop
Él,Lucía,22/05/1982,1,es,Mujer,Balada
Bienvenidos,Miguel Ríos,29/05/1982,1,es,Hombre,Rock
Ebony and Ivory,Paul McCartney con Stevie Wonder,5/06/1982,1,en,Grupo,Pop-Rock
Bailando,Alaska y los Pegamoides,12/06/1982,1,es,Mujer,Pop-Dance
Me estoy volviendo loco,Azul y Negro,19/06/1982,1,es,Grupo,Tecno
Qué dolor,Raffaella Carra,26/06/1982,1,es,Mujer,Pop latino
More than this,Roxy Music,3/07/1982,1,en,Mujer,rock
Tú y yo,Emmanuel,10/07/1982,1,es,Hombre,pop latino
Un toque de locura,"José Luis Rodríguez ""El Puma""",17/07/1982,1,es,Hombre,Balada
Just an Illusion,Imagination,24/07/1982,1,en,Grupo,Disco
Las Leandras,Luis Cobos,31/07/1982,1,,Hombre,Música clásica
¡Que tire la toalla!,Leño,7/08/1982,1,es,Hombre,rock
Felicidad,Al Bano y Romina Power,14/08/1982,1,es,Grupo,pop
Dos enamorados,Pedro Marín,21/08/1982,2,es,Hombre,pop
Hay que ver,Juan Pardo,4/09/1982,1,es,Hombre,Pop
Maquillaje,Mecano,11/09/1982,1,es,Grupo,Pop
No sucederá más,Claudia Mori,18/09/1982,1,it,Grupo,Pop
Eye of the Tiger,Survivor,25/09/1982,1,en,Mujer,rock
Love is in Control (Finger on the Trigger),Donna Summer,2/10/1982,1,en,Mujer,Disco
El blues del autobús,Miguel Ríos,9/10/1982,1,es,Hombre,Rock
Dueño de nada,"José Luis Rodríguez ""El Puma""",16/10/1982,1,es,Hombre,Balada
Abrázame,Bertín Osborne,23/10/1982,1,es,Hombre,Balada
Por amor,José Luis Perales,30/10/1982,1,es,Hombre,Balada
No me vuelvo a enamorar,Julio Iglesias,6/11/1982,1,es,Hombre,Pop latino
Can't Take My Eyes Off You,Boys Town Gang,13/11/1982,1,en,Hombre,disco
No aguanto más,Luz Casal,20/11/1982,1,es,Mujer,Balada
Amor de hombre,Mocedades,27/11/1982,2,es,Grupo,Folk
It's Raining Again,Supertramp,11/12/1982,1,en,Grupo,Rock
Music and Lights,Imagination,18/12/1982,1,en,Grupo,Disco
Bravo muchachos,Miguel Bosé,25/12/1982,1,es,Hombre,Pop latino
Tu cadena,Francisco,1/01/1983,1,es,Hombre,balada
Devuélveme mi libertad,Camilo Sesto,8/01/1983,1,es,Hombre,Balada
Pass the Dutchie,Musical Youth,15/01/1983,1,en,Grupo,Reggae
"Y, ¿cómo es él?",José Luis Perales,22/01/1983,1,es,Hombre,Balada
The Girl is Mine,Michael Jackson y Paul McCartney,29/01/1983,1,en,Colaboración,Pop
The Night,Azul y Negro,5/02/1983,1,en,Grupo,Tecno
Mirror Man (12'' extended version),The Human League,12/02/1983,1,en,Grupo,new wave
Eres tú,Luz Casal,19/02/1983,2,es,Mujer,Balada
Lies,Thompson Twins,5/03/1983,1,en,Grupo,new wave
El barón del bidé,La Trinca,12/03/1983,1,es,Grupo,nova canco
All Right,Christopher Cross,19/03/1983,2,en,Hombre,pop rock
Desire,Future World Orchestra,2/04/1983,1,en,Grupo,Electrónica
Embrujada,Tino Casal,9/04/1983,1,es,Hombre,Pop
You Are a Danger,Gary Low,16/04/1983,1,en,Hombre,Italo disco
Por volverte a ver,Dyango,23/04/1983,1,es,Hombre,Balada
Genetic engineering,O.M.D.,30/04/1983,1,en,Grupo,New wave
