Ciudad,Provincia,Comunidad Autónoma,Municipio,Población,Tasa,Casos,Año
Corvera de Asturias,Asturias,Asturias,Corvera de Asturias (Asturias),16146,"130,0631735",21,2013
Pasaia,Gipuzkoa,País Vasco,Pasaia (País Vasco),15849,"100,9527415",16,2013
Villaviciosa,Asturias,Asturias,Villaviciosa (Asturias),14971,"100,1937078",15,2013
Miajadas,Cáceres,Extremadura,Miajadas (Extremadura),10111,"98,90218574",10,2013
Langreo,Asturias,Asturias,Langreo (Asturias),43070,"97,51567216",42,2013
Aller,Asturias,Asturias,Aller (Asturias),11906,"92,3903914",11,2013
Premià de Mar,Barcelona,Cataluña,Premià de Mar (Cataluña),28136,"88,85413705",25,2013
Elgoibar,Gipuzkoa,País Vasco,Elgoibar (País Vasco),11518,"86,82062858",10,2013
Peñarroya-Pueblonuevo,Córdoba,Andalucía,Peñarroya-Pueblonuevo (Andalucía),11600,"86,20689655",10,2013
Vilanova de Arousa,Pontevedra,Galicia,Vilanova de Arousa (Galicia),10502,"85,69796229",9,2013
Llanera,Asturias,Asturias,Llanera (Asturias),14138,"84,87763474",12,2013
San Martín del Rey Aurelio,Asturias,Asturias,San Martín del Rey Aurelio (Asturias),17770,"84,41193022",15,2013
Amposta,Tarragona,Cataluña,Amposta (Cataluña),21511,"83,67811817",18,2013
Gozón,Asturias,Asturias,Gozón (Asturias),10760,"83,64312268",9,2013
Castrillón,Asturias,Asturias,Castrillón (Asturias),22851,"83,14734585",19,2013
Carreño,Asturias,Asturias,Carreño (Asturias),10858,"82,88819304",9,2013
Canals,València/Valencia,Comunidad Valenciana,Canals (Comunidad Valenciana),12104,"82,61731659",10,2013
"Prat de Llobregat, El",Barcelona,Cataluña,"Prat de Llobregat, El (Cataluña)",63419,"81,994355",52,2013
Badia del Vallès,Barcelona,Cataluña,Badia del Vallès (Cataluña),13531,"81,29480452",11,2013
Villablino,León,Castilla y León,Villablino (Castilla y León),10003,"79,9760072",8,2013
Caldas de Reis,Pontevedra,Galicia,Caldas de Reis (Galicia),10019,"79,84828825",8,2013
Santa Cruz de la Palma,Santa Cruz de Tenerife,Canarias,Santa Cruz de la Palma (Canarias),16330,"79,60808328",13,2013
Ayamonte,Huelva,Andalucía,Ayamonte (Andalucía),20406,"78,40831128",16,2013
Cocentaina,Alacant/Alicante,Comunidad Valenciana,Cocentaina (Comunidad Valenciana),11558,"77,86814328",9,2013
Monforte de Lemos,Lugo,Galicia,Monforte de Lemos (Galicia),19426,"77,21610213",15,2013
Valls,Tarragona,Cataluña,Valls (Cataluña),24649,"77,08223457",19,2013
"Guarda, A",Pontevedra,Galicia,"Guarda, A (Galicia)",10438,"76,64303506",8,2013
"Carballiño, O",Ourense,Galicia,"Carballiño, O (Galicia)",14355,"76,62835249",11,2013
Teulada,Alacant/Alicante,Comunidad Valenciana,Teulada (Comunidad Valenciana),14452,"76,11403266",11,2013
Ribeira,A Coruña,Galicia,Ribeira (Galicia),27811,"75,50969041",21,2013
Navalmoral de la Mata,Cáceres,Extremadura,Navalmoral de la Mata (Extremadura),17274,"75,2576126",13,2013
"Masnou, El",Barcelona,Cataluña,"Masnou, El (Cataluña)",22595,"75,23788449",17,2013
Canovelles,Barcelona,Cataluña,Canovelles (Cataluña),16009,"74,95783622",12,2013
Baiona,Pontevedra,Galicia,Baiona (Galicia),12035,"74,78188617",9,2013
Santurtzi,Bizkaia,País Vasco,Santurtzi (País Vasco),47020,"74,43641004",35,2013
Castell-Platja d'Aro,Girona,Cataluña,Castell-Platja d'Aro (Cataluña),10765,"74,31490943",8,2013
Basauri,Bizkaia,País Vasco,Basauri (País Vasco),41799,"74,1644537",31,2013
Cambados,Pontevedra,Galicia,Cambados (Galicia),13544,"73,83343178",10,2013
Llanes,Asturias,Asturias,Llanes (Asturias),13572,"73,68110816",10,2013
Nules,Castelló/Castellón,Comunidad Valenciana,Nules (Comunidad Valenciana),13573,"73,67567966",10,2013
Vilalba,Lugo,Galicia,Vilalba (Galicia),14980,"73,43124166",11,2013
Camargo,Cantabria,Cantabria,Camargo (Cantabria),31334,"73,40269356",23,2013
Sestao,Bizkaia,País Vasco,Sestao (País Vasco),28651,"73,295871",21,2013
Piera,Barcelona,Cataluña,Piera (Cataluña),15057,"73,05572159",11,2013
Sada,A Coruña,Galicia,Sada (Galicia),15075,"72,96849088",11,2013
Barakaldo,Bizkaia,País Vasco,Barakaldo (País Vasco),100502,"72,63537044",73,2013
Arrasate/Mondragón,Gipuzkoa,País Vasco,Arrasate/Mondragón (País Vasco),22051,"72,55906762",16,2013
Almazora/Almassora,Castelló/Castellón,Comunidad Valenciana,Almazora/Almassora (Comunidad Valenciana),26186,"72,55785534",19,2013
Sant Carles de la Ràpita,Tarragona,Cataluña,Sant Carles de la Ràpita (Cataluña),15245,"72,15480485",11,2013
Torelló,Barcelona,Cataluña,Torelló (Cataluña),13908,"71,90106414",10,2013
Benissa,Alacant/Alicante,Comunidad Valenciana,Benissa (Comunidad Valenciana),13932,"71,77720356",10,2013
Carlet,València/Valencia,Comunidad Valenciana,Carlet (Comunidad Valenciana),15335,"71,73133355",11,2013
Burlada/Burlata,Navarra,Navarra,Burlada/Burlata (Navarra),18248,"71,24068391",13,2013
Plasencia,Cáceres,Extremadura,Plasencia (Extremadura),41047,"70,65071747",29,2013
Valdés,Asturias,Asturias,Valdés (Asturias),12871,"69,92463678",9,2013
"Corrales de Buelna, Los",Cantabria,Cantabria,"Corrales de Buelna, Los (Cantabria)",11448,"69,88120196",8,2013
"Puebla de Cazalla, La",Sevilla,Andalucía,"Puebla de Cazalla, La (Andalucía)",11448,"69,88120196",8,2013
Daimiel,Ciudad Real,Castilla La Mancha,Daimiel (Castilla La Mancha),18706,"69,49641826",13,2013
Zumarraga,Gipuzkoa,País Vasco,Zumarraga (País Vasco),10094,"69,3481276",7,2013
Avilés,Asturias,Asturias,Avilés (Asturias),82568,"69,03400833",57,2013
Águilas,Murcia,Región de Murcia,Águilas (Región de Murcia),34930,"68,70884626",24,2013
Xinzo de Limia,Ourense,Galicia,Xinzo de Limia (Galicia),10307,"67,91500922",7,2013
Portugalete,Bizkaia,País Vasco,Portugalete (País Vasco),47233,"67,74924311",32,2013
Tineo,Asturias,Asturias,Tineo (Asturias),10344,"67,67208043",7,2013
Punta Umbría,Huelva,Andalucía,Punta Umbría (Andalucía),14976,"66,77350427",10,2013
Sant Andreu de Llavaneres,Barcelona,Cataluña,Sant Andreu de Llavaneres (Cataluña),10558,"66,30043569",7,2013
Illora,Granada,Andalucía,Illora (Andalucía),10638,"65,80184245",7,2013
Arenys de Mar,Barcelona,Cataluña,Arenys de Mar (Cataluña),15224,"65,68575933",10,2013
Medina del Campo,Valladolid,Castilla y León,Medina del Campo (Castilla y León),21556,"64,94711449",14,2013
Valladolid,Valladolid,Castilla y León,Valladolid (Castilla y León),309714,"64,89858385",201,2013
Cangas del Narcea,Asturias,Asturias,Cangas del Narcea (Asturias),13878,"64,85084306",9,2013
Arrigorriaga,Bizkaia,País Vasco,Arrigorriaga (País Vasco),12374,"64,65168903",8,2013
Ripollet,Barcelona,Cataluña,Ripollet (Cataluña),37234,"64,45721652",24,2013
Sagunto/Sagunt,València/Valencia,Comunidad Valenciana,Sagunto/Sagunt (Comunidad Valenciana),65190,"64,42705936",42,2013
Algemesí,València/Valencia,Comunidad Valenciana,Algemesí (Comunidad Valenciana),28000,"64,28571429",18,2013
"Barco de Valdeorras, O",Ourense,Galicia,"Barco de Valdeorras, O (Galicia)",14010,"64,23982869",9,2013
Barbastro,Huesca,Aragón,Barbastro (Aragón),17210,"63,91632772",11,2013
Vigo,Pontevedra,Galicia,Vigo (Galicia),296479,"63,41089925",188,2013
Ourense,Ourense,Galicia,Ourense (Galicia),107542,"63,23110971",68,2013
Siero,Asturias,Asturias,Siero (Asturias),52301,"63,09630791",33,2013
Monóvar/Monòver,Alacant/Alicante,Comunidad Valenciana,Monóvar/Monòver (Comunidad Valenciana),12720,"62,89308176",8,2013
Cádiz,Cádiz,Andalucía,Cádiz (Andalucía),122990,"62,60671599",77,2013
Alzira,València/Valencia,Comunidad Valenciana,Alzira (Comunidad Valenciana),44788,"62,51674556",28,2013
Gijón,Asturias,Asturias,Gijón (Asturias),275274,"62,48319856",172,2013
Capdepera,Illes Balears,Illes Balears,Capdepera (Illes Balears),11247,"62,23881924",7,2013
Puerto de la Cruz,Santa Cruz de Tenerife,Canarias,Puerto de la Cruz (Canarias),28929,"62,22130043",18,2013
Sant Andreu de la Barca,Barcelona,Cataluña,Sant Andreu de la Barca (Cataluña),27329,"62,20498372",17,2013
"Línea de la Concepción, La",Cádiz,Andalucía,"Línea de la Concepción, La (Andalucía)",62697,"62,2039332",39,2013
Oviedo,Asturias,Asturias,Oviedo (Asturias),225089,"62,19761961",140,2013
"Solana, La",Ciudad Real,Castilla La Mancha,"Solana, La (Castilla La Mancha)",16113,"62,06168932",10,2013
Leioa,Bizkaia,País Vasco,Leioa (País Vasco),30637,"62,01651598",19,2013
Nigrán,Pontevedra,Galicia,Nigrán (Galicia),17738,"62,01375578",11,2013
Pinos Puente,Granada,Andalucía,Pinos Puente (Andalucía),12903,"62,00108502",8,2013
Osuna,Sevilla,Andalucía,Osuna (Andalucía),17820,"61,72839506",11,2013
Benaguasil,València/Valencia,Comunidad Valenciana,Benaguasil (Comunidad Valenciana),11354,"61,65228113",7,2013
Alcoy/Alcoi,Alacant/Alicante,Comunidad Valenciana,Alcoy/Alcoi (Comunidad Valenciana),60105,"61,55893852",37,2013
Erandio,Bizkaia,País Vasco,Erandio (País Vasco),24457,"61,33213395",15,2013
Errenteria,Gipuzkoa,País Vasco,Errenteria (País Vasco),39178,"61,25886977",24,2013
Tordera,Barcelona,Cataluña,Tordera (Cataluña),16363,"61,11348775",10,2013
Calafell,Tarragona,Cataluña,Calafell (Cataluña),24563,"61,06745919",15,2013
Torroella de Montgrí,Girona,Cataluña,Torroella de Montgrí (Cataluña),11472,"61,0181311",7,2013
Tarifa,Cádiz,Andalucía,Tarifa (Andalucía),18085,"60,8238872",11,2013
"Estrada, A",Pontevedra,Galicia,"Estrada, A (Galicia)",21464,"60,56653",13,2013
León,León,Castilla y León,León (Castilla y León),130601,"60,48958278",79,2013
Ferrol,A Coruña,Galicia,Ferrol (Galicia),71232,"60,36612758",43,2013
Zaragoza,Zaragoza,Aragón,Zaragoza (Aragón),682004,"60,11694946",410,2013
Álora,Málaga,Andalucía,Álora (Andalucía),13342,"59,96102533",8,2013
Mieres,Asturias,Asturias,Mieres (Asturias),41730,"59,90893841",25,2013
Crevillent,Alacant/Alicante,Comunidad Valenciana,Crevillent (Comunidad Valenciana),28382,"59,89711789",17,2013
Archena,Murcia,Región de Murcia,Archena (Región de Murcia),18369,"59,88349937",11,2013
Astorga,León,Castilla y León,Astorga (Castilla y León),11690,"59,88023952",7,2013
Santander,Cantabria,Cantabria,Santander (Cantabria),177123,"59,84541816",106,2013
San Juan de Aznalfarache,Sevilla,Andalucía,San Juan de Aznalfarache (Andalucía),21801,"59,63029219",13,2013
Donostia/San Sebastián,Guipuzkoa,País Vasco,Donostia/San Sebastián (País Vasco),186500,"59,51742627",111,2013
Ciudad Rodrigo,Salamanca,Castilla y León,Ciudad Rodrigo (Castilla y León),13503,"59,24609346",8,2013
Sant Feliu de Guíxols,Girona,Cataluña,Sant Feliu de Guíxols (Cataluña),21945,"59,23900661",13,2013
Huesca,Huesca,Aragón,Huesca (Aragón),52418,"59,13999008",31,2013
Salamanca,Salamanca,Castilla y León,Salamanca (Castilla y León),149528,"58,85185383",88,2013
Laredo,Cantabria,Cantabria,Laredo (Cantabria),11934,"58,65594101",7,2013
Fene,A Coruña,Galicia,Fene (Galicia),13639,"58,65532664",8,2013
Pamplona/Iruña,Navarra,Navarra,Pamplona/Iruña (Navarra),196955,"58,3889721",115,2013
Cáceres,Cáceres,Extremadura,Cáceres (Extremadura),95925,"58,37894188",56,2013
Cullera,València/Valencia,Comunidad Valenciana,Cullera (Comunidad Valenciana),22292,"58,31688498",13,2013
Galdakao,Bizkaia,País Vasco,Galdakao (País Vasco),29219,"58,18132037",17,2013
"Coruña, A",A Coruña,Galicia,"Coruña, A (Galicia)",245923,"58,14828219",143,2013
Abrera,Barcelona,Cataluña,Abrera (Cataluña),12055,"58,06719204",7,2013
Oleiros,A Coruña,Galicia,Oleiros (Galicia),34470,"58,02146794",20,2013
Valle de Trápaga-Trapagaran,Bizkaia,País Vasco,Valle de Trápaga-Trapagaran (País Vasco),12100,"57,85123967",7,2013
Oliva,València/Valencia,Comunidad Valenciana,Oliva (Comunidad Valenciana),27787,"57,58088315",16,2013
Santa Coloma de Gramenet,Barcelona,Cataluña,Santa Coloma de Gramenet (Cataluña),120029,"57,48610752",69,2013
Boiro,A Coruña,Galicia,Boiro (Galicia),19144,"57,45925616",11,2013
Estella-Lizarra,Navarra,Navarra,Estella-Lizarra (Navarra),13947,"57,36000574",8,2013
Villanueva de la Serena,Badajoz,Extremadura,Villanueva de la Serena (Extremadura),26157,"57,34602592",15,2013
San Fernando,Cádiz,Andalucía,San Fernando (Andalucía),96361,"57,07703324",55,2013
Ontinyent,València/Valencia,Comunidad Valenciana,Ontinyent (Comunidad Valenciana),36974,"56,79666793",21,2013
Etxebarri,Bizkaia,País Vasco,Etxebarri (País Vasco),10572,"56,75368899",6,2013
Albal,València/Valencia,Comunidad Valenciana,Albal (Comunidad Valenciana),15893,"56,62870446",9,2013
Torrelavega,Cantabria,Cantabria,Torrelavega (Cantabria),54827,"56,54148503",31,2013
Igualada,Barcelona,Cataluña,Igualada (Cataluña),38978,"56,44209554",22,2013
Icod de los Vinos,Santa Cruz de Tenerife,Canarias,Icod de los Vinos (Canarias),23092,"56,29655292",13,2013
Salt,Girona,Cataluña,Salt (Cataluña),30247,"56,20392105",17,2013
Barcelona,Barcelona,Cataluña,Barcelona (Cataluña),1611822,"56,14763913",905,2013
Bilbao,Bizkaia,País Vasco,Bilbao (País Vasco),349356,"56,10322994",196,2013
"Bañeza, La",León,Castilla y León,"Bañeza, La (Castilla y León)",10711,"56,0171786",6,2013
Ponferrada,León,Castilla y León,Ponferrada (Castilla y León),68121,"55,78309185",38,2013
Teruel,Teruel,Aragón,Teruel (Aragón),35961,"55,61580601",20,2013
Palma del Río,Córdoba,Andalucía,Palma del Río (Andalucía),21582,"55,60189046",12,2013
Almoradí,Alacant/Alicante,Comunidad Valenciana,Almoradí (Comunidad Valenciana),19788,"55,58924601",11,2013
Vinaròs,Castelló/Castellón,Comunidad Valenciana,Vinaròs (Comunidad Valenciana),28829,"55,49967047",16,2013
Soria,Soria,Castilla y León,Soria (Castilla y León),39753,"55,34173522",22,2013
Cehegín,Murcia,Región de Murcia,Cehegín (Región de Murcia),16267,"55,32673511",9,2013
Roses,Girona,Cataluña,Roses (Cataluña),19891,"55,30139259",11,2013
Valencia,València/Valencia,Comunidad Valenciana,Valencia (Comunidad Valenciana),792303,"55,2818808",438,2013
Mogán,Las Palmas,Canarias,Mogán (Canarias),21782,"55,09135984",12,2013
Campo de Criptana,Ciudad Real,Castilla La Mancha,Campo de Criptana (Castilla La Mancha),14594,"54,8170481",8,2013
Ronda,Málaga,Andalucía,Ronda (Andalucía),36665,"54,547934",20,2013
Xàtiva,València/Valencia,Comunidad Valenciana,Xàtiva (Comunidad Valenciana),29400,"54,42176871",16,2013
Benetússer,València/Valencia,Comunidad Valenciana,Benetússer (Comunidad Valenciana),14709,"54,38846964",8,2013
Ciempozuelos,Madrid,Comunidad de Madrid,Ciempozuelos (Comunidad de Madrid),23950,"54,27974948",13,2013
Irun,Gipuzkoa,País Vasco,Irun (País Vasco),61113,"53,99833096",33,2013
Coria,Cáceres,Extremadura,Coria (Extremadura),13010,"53,80476557",7,2013
Mairena del Alcor,Sevilla,Andalucía,Mairena del Alcor (Andalucía),22328,"53,74417771",12,2013
Bailén,Jaén,Andalucía,Bailén (Andalucía),18616,"53,71723249",10,2013
Xirivella,València/Valencia,Comunidad Valenciana,Xirivella (Comunidad Valenciana),29796,"53,69848302",16,2013
Amorebieta-Etxano,Bizkaia,País Vasco,Amorebieta-Etxano (País Vasco),18650,"53,61930295",10,2013
Tafalla,Navarra,Navarra,Tafalla (Navarra),11201,"53,56664584",6,2013
Alginet,València/Valencia,Comunidad Valenciana,Alginet (Comunidad Valenciana),13068,"53,56596266",7,2013
Altea,Alacant/Alicante,Comunidad Valenciana,Altea (Comunidad Valenciana),24333,"53,42538939",13,2013
Carcaixent,València/Valencia,Comunidad Valenciana,Carcaixent (Comunidad Valenciana),20590,"53,42399223",11,2013
Gernika-Lumo,Bizkaia,País Vasco,Gernika-Lumo (País Vasco),16863,"53,37128625",9,2013
Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,Santa Cruz de Tenerife (Canarias),206593,"53,24478564",110,2013
Socuéllamos,Ciudad Real,Castilla La Mancha,Socuéllamos (Castilla La Mancha),13155,"53,21170658",7,2013
Silla,València/Valencia,Comunidad Valenciana,Silla (Comunidad Valenciana),18834,"53,09546565",10,2013
Guardamar del Segura,Alacant/Alicante,Comunidad Valenciana,Guardamar del Segura (Comunidad Valenciana),16957,"53,07542608",9,2013
Jaca,Huesca,Aragón,Jaca (Aragón),13221,"52,94607065",7,2013
Morón de la Frontera,Sevilla,Andalucía,Morón de la Frontera (Andalucía),28334,"52,93993083",15,2013
Sant Feliu de Llobregat,Barcelona,Cataluña,Sant Feliu de Llobregat (Cataluña),43769,"52,54860746",23,2013
Barbate,Cádiz,Andalucía,Barbate (Andalucía),22921,"52,35373675",12,2013
Vitoria-Gasteiz,Araba/Álava,País Vasco,Vitoria-Gasteiz (País Vasco),241386,"52,19855335",126,2013
Ciudad Real,Ciudad Real,Castilla La Mancha,Ciudad Real (Castilla La Mancha),74872,"52,08889839",39,2013
Betanzos,A Coruña,Galicia,Betanzos (Galicia),13445,"52,0639643",7,2013
Alhama de Murcia,Murcia,Región de Murcia,Alhama de Murcia (Región de Murcia),21182,"51,93088471",11,2013
Sarria,Lugo,Galicia,Sarria (Galicia),13488,"51,89798339",7,2013
Granollers,Barcelona,Cataluña,Granollers (Cataluña),59753,"51,88024032",31,2013
Sant Joan Despí,Barcelona,Cataluña,Sant Joan Despí (Cataluña),32812,"51,8103133",17,2013
Elda,Alacant/Alicante,Comunidad Valenciana,Elda (Comunidad Valenciana),54056,"51,79813527",28,2013
Priego de Córdoba,Córdoba,Andalucía,Priego de Córdoba (Andalucía),23171,"51,78887402",12,2013
Puçol,València/Valencia,Comunidad Valenciana,Puçol (Comunidad Valenciana),19320,"51,75983437",10,2013
Cartaya,Huelva,Andalucía,Cartaya (Andalucía),19323,"51,75179838",10,2013
Quart de Poblet,València/Valencia,Comunidad Valenciana,Quart de Poblet (Comunidad Valenciana),25174,"51,64058155",13,2013
Lugo,Lugo,Galicia,Lugo (Galicia),98761,"51,63981734",51,2013
Alicante/Alacant,Alacant/Alicante,Comunidad Valenciana,Alicante/Alacant (Comunidad Valenciana),335052,"51,63377625",173,2013
Alcantarilla,Murcia,Región de Murcia,Alcantarilla (Región de Murcia),40695,"51,60339108",21,2013
Inca,Illes Balears,Illes Balears,Inca (Illes Balears),31032,"51,55968033",16,2013
Pozoblanco,Córdoba,Andalucía,Pozoblanco (Andalucía),17519,"51,37279525",9,2013
"Garriga, La",Barcelona,Cataluña,"Garriga, La (Cataluña)",15586,"51,32811498",8,2013
Massamagrell,València/Valencia,Comunidad Valenciana,Massamagrell (Comunidad Valenciana),15628,"51,19017149",8,2013
Don Benito,Badajoz,Extremadura,Don Benito (Extremadura),37149,"51,14538749",19,2013
Eibar,Gipuzkoa,País Vasco,Eibar (País Vasco),27439,"51,02226758",14,2013
Tomiño,Pontevedra,Galicia,Tomiño (Galicia),13740,"50,94614265",7,2013
San Fernando de Henares,Madrid,Comunidad de Madrid,San Fernando de Henares (Comunidad de Madrid),41226,"50,93872799",21,2013
Guadarrama,Madrid,Comunidad de Madrid,Guadarrama (Comunidad de Madrid),15712,"50,91649695",8,2013
Ibi,Alacant/Alicante,Comunidad Valenciana,Ibi (Comunidad Valenciana),23634,"50,7743082",12,2013
Benifaió,València/Valencia,Comunidad Valenciana,Benifaió (Comunidad Valenciana),11830,"50,71851226",6,2013
Puerto Real,Cádiz,Andalucía,Puerto Real (Andalucía),41537,"50,55733442",21,2013
Badalona,Barcelona,Cataluña,Badalona (Cataluña),219708,"50,5216014",111,2013
Palamós,Girona,Cataluña,Palamós (Cataluña),17830,"50,47672462",9,2013
"Hospitalet de Llobregat, L'",Barcelona,Cataluña,"Hospitalet de Llobregat, L' (Cataluña)",254056,"50,38259281",128,2013
Mislata,València/Valencia,Comunidad Valenciana,Mislata (Comunidad Valenciana),43775,"50,256996",22,2013
Redondela,Pontevedra,Galicia,Redondela (Galicia),29918,"50,13704125",15,2013
Callosa de Segura,Alacant/Alicante,Comunidad Valenciana,Callosa de Segura (Comunidad Valenciana),17992,"50,0222321",9,2013
Alpedrete,Madrid,Comunidad de Madrid,Alpedrete (Comunidad de Madrid),13996,"50,0142898",7,2013
Telde,Las Palmas,Canarias,Telde (Canarias),102170,"49,91680532",51,2013
San Miguel de Abona,Santa Cruz de Tenerife,Canarias,San Miguel de Abona (Canarias),16099,"49,69252749",8,2013
Montijo,Badajoz,Extremadura,Montijo (Extremadura),16121,"49,62471311",8,2013
Huétor Tájar,Granada,Andalucía,Huétor Tájar (Andalucía),10087,"49,56875186",5,2013
Gáldar,Las Palmas,Canarias,Gáldar (Canarias),24227,"49,53151443",12,2013
Jódar,Jaén,Andalucía,Jódar (Andalucía),12155,"49,3624023",6,2013
Lena,Asturias,Asturias,Lena (Asturias),12162,"49,33399112",6,2013
Amurrio,Araba/Álava,País Vasco,Amurrio (País Vasco),10139,"49,31452806",5,2013
Ermua,Bizkaia,País Vasco,Ermua (País Vasco),16247,"49,23985967",8,2013
Villacañas,Toledo,Castilla La Mancha,Villacañas (Castilla La Mancha),10162,"49,20291281",5,2013
Sóller,Illes Balears,Illes Balears,Sóller (Illes Balears),14229,"49,19530536",7,2013
Baena,Córdoba,Andalucía,Baena (Andalucía),20358,"49,12073878",10,2013
Algeciras,Cádiz,Andalucía,Algeciras (Andalucía),114277,"49,00373653",56,2013
Picassent,València/Valencia,Comunidad Valenciana,Picassent (Comunidad Valenciana),20420,"48,97159647",10,2013
Calahorra,La Rioja,La Rioja,Calahorra (La Rioja),24509,"48,96160594",12,2013
Málaga,Málaga,Andalucía,Málaga (Andalucía),568479,"48,90242208",278,2013
"Palmas de Gran Canaria, Las",Las Palmas,Canarias,"Palmas de Gran Canaria, Las (Canarias)",383050,"48,81869208",187,2013
Manacor,Illes Balears,Illes Balears,Manacor (Illes Balears),41049,"48,72225876",20,2013
Carmona,Sevilla,Andalucía,Carmona (Andalucía),28793,"48,62292918",14,2013
Talavera de la Reina,Toledo,Castilla La Mancha,Talavera de la Reina (Castilla La Mancha),88548,"48,56123233",43,2013
Villamartín,Cádiz,Andalucía,Villamartín (Andalucía),12366,"48,52013586",6,2013
Adra,Almería,Andalucía,Adra (Andalucía),24761,"48,46330924",12,2013
Güímar,Santa Cruz de Tenerife,Canarias,Güímar (Canarias),18589,"48,41572973",9,2013
Paiporta,València/Valencia,Comunidad Valenciana,Paiporta (Comunidad Valenciana),24787,"48,41247428",12,2013
Gibraleón,Huelva,Andalucía,Gibraleón (Andalucía),12411,"48,34421078",6,2013
Aldaia,València/Valencia,Comunidad Valenciana,Aldaia (Comunidad Valenciana),31028,"48,34343174",15,2013
Jávea/Xàbia,Alacant/Alicante,Comunidad Valenciana,Jávea/Xàbia (Comunidad Valenciana),33149,"48,26691605",16,2013
Alcanar,Tarragona,Cataluña,Alcanar (Cataluña),10389,"48,12782751",5,2013
Vélez-Málaga,Málaga,Andalucía,Vélez-Málaga (Andalucía),76911,"48,10755289",37,2013
"Roca del Vallès, La",Barcelona,Cataluña,"Roca del Vallès, La (Cataluña)",10396,"48,09542132",5,2013
Sitges,Barcelona,Cataluña,Sitges (Cataluña),29140,"48,04392588",14,2013
Balaguer,Lleida,Cataluña,Balaguer (Cataluña),16665,"48,00480048",8,2013
Manilva,Málaga,Andalucía,Manilva (Andalucía),14600,"47,94520548",7,2013
Vilanova del Camí,Barcelona,Cataluña,Vilanova del Camí (Cataluña),12533,"47,87361366",6,2013
Úbeda,Jaén,Andalucía,Úbeda (Andalucía),35514,"47,86844625",17,2013
Sant Joan d'Alacant,Alacant/Alicante,Comunidad Valenciana,Sant Joan d'Alacant (Comunidad Valenciana),23026,"47,77208373",11,2013
Reus,Tarragona,Cataluña,Reus (Cataluña),106790,"47,75728064",51,2013
Noia,A Coruña,Galicia,Noia (Galicia),14659,"47,75223412",7,2013
Zamora,Zamora,Castilla y León,Zamora (Castilla y León),64986,"47,70258209",31,2013
Alfafar,València/Valencia,Comunidad Valenciana,Alfafar (Comunidad Valenciana),20973,"47,68035093",10,2013
Chipiona,Cádiz,Andalucía,Chipiona (Andalucía),18930,"47,54358162",9,2013
Tui,Pontevedra,Galicia,Tui (Galicia),16827,"47,54263981",8,2013
Almansa,Albacete,Castilla La Mancha,Almansa (Castilla La Mancha),25279,"47,47023221",12,2013
Bergara,Gipuzkoa,País Vasco,Bergara (País Vasco),14763,"47,41583689",7,2013
Ubrique,Cádiz,Andalucía,Ubrique (Andalucía),16877,"47,40178942",8,2013
Calasparra,Murcia,Región de Murcia,Calasparra (Región de Murcia),10558,"47,35745406",5,2013
Barañain,Navarra,Navarra,Barañain (Navarra),21120,"47,34848485",10,2013
"Pontes de García Rodríguez, As",A Coruña,Galicia,"Pontes de García Rodríguez, As (Galicia)",10564,"47,33055661",5,2013
San Fulgencio,Alacant/Alicante,Comunidad Valenciana,San Fulgencio (Comunidad Valenciana),12688,"47,2887768",6,2013
Sevilla,Sevilla,Andalucía,Sevilla (Andalucía),700169,"47,27430092",331,2013
Castalla,Alacant/Alicante,Comunidad Valenciana,Castalla (Comunidad Valenciana),10579,"47,26344645",5,2013
Esplugues de Llobregat,Barcelona,Cataluña,Esplugues de Llobregat (Cataluña),46667,"47,14252041",22,2013
"Viso del Alcor, El",Sevilla,Andalucía,"Viso del Alcor, El (Andalucía)",19099,"47,12288602",9,2013
Tortosa,Tarragona,Cataluña,Tortosa (Cataluña),33992,"47,0698988",16,2013
Baza,Granada,Andalucía,Baza (Andalucía),21258,"47,04111393",10,2013
Almuñécar,Granada,Andalucía,Almuñécar (Andalucía),25586,"46,90064879",12,2013
Meliana,València/Valencia,Comunidad Valenciana,Meliana (Comunidad Valenciana),10661,"46,89991558",5,2013
Consuegra,Toledo,Castilla La Mancha,Consuegra (Castilla La Mancha),10668,"46,86914136",5,2013
Cerdanyola del Vallès,Barcelona,Cataluña,Cerdanyola del Vallès (Cataluña),57642,"46,84084522",27,2013
Moaña,Pontevedra,Galicia,Moaña (Galicia),19309,"46,61038894",9,2013
Vejer de la Frontera,Cádiz,Andalucía,Vejer de la Frontera (Andalucía),12882,"46,57661854",6,2013
Brenes,Sevilla,Andalucía,Brenes (Andalucía),12897,"46,52244708",6,2013
Andratx,Illes Balears,Illes Balears,Andratx (Illes Balears),10748,"46,52028284",5,2013
Riba-roja de Túria,València/Valencia,Comunidad Valenciana,Riba-roja de Túria (Comunidad Valenciana),21520,"46,46840149",10,2013
Tarragona,Tarragona,Cataluña,Tarragona (Cataluña),133545,"46,42629825",62,2013
Yuncos,Toledo,Castilla La Mancha,Yuncos (Castilla La Mancha),10773,"46,41232711",5,2013
"Torres de Cotillas, Las",Murcia,Región de Murcia,"Torres de Cotillas, Las (Región de Murcia)",21565,"46,3714352",10,2013
Ordes,A Coruña,Galicia,Ordes (Galicia),12939,"46,3714352",6,2013
