Día,Mes,Año,Estación climatológica más cercana,Municipio de origen,Provincia,Superficie forestal afectada (ha),IDGRUPOCAUSA,CAUSA,Temperatura máx,Temperatura (S/N),Humedad % 13h,Humedad (S/N),Velocidad racha máx viento (km/h),Velocidad (S/N),Cumple 30/30/30,Cumple 30/30 (2x)
24,1,2009,Jávea,La Nucia,Alicante,960,3,Líneas eléctricas,"18,9",N,34,N,143,S,N,N
10,8,2008,Ciudad Real,Cabezarrubias del Puerto,Ciudad Real,560,3,Motores y máquinas (sin especificar),"36,6",S,27,S,26,N,N,S
6,8,2008,Segovia,Pradales,Segovia,956,2,Trabajos forestales,"33,9",S,17,S,49,S,S,S
5,8,2008,Zaragoza Aeropuerto,Zuera,Zaragoza,2131,3,Motores y máquinas (accidente de vehículos),"37,5",S,31,S,52,S,S,S
5,4,2008,Villardeciervos,Porto,Zamora,650,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"23,3",N,15,S,23,N,N,N
17,2,2008,A Pobra de Trives,Viana do Bolo,Ourense,702,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"11,4",N,61,N,41,S,N,N
15,2,2008,Reinosa / Santander,Soba,Cantabria,500,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"11,3",N,68,N,23,N,N,N
21,12,2007,Reinosa / Santander,Selaya,Cantabria,505,4,Provocados por pastores y ganaderos para regenerar el pasto,"7,5",N,61,N,39,S,N,N
14,11,2007,Ponferrada,Villablino,León,500,4,Sin datos,"15,8",N,58,N,28,N,N,N
14,9,2007,Monte Iroite / Santiago de Compostela Aeropuerto,Muros,A Coruña,534,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"21,6",N,45,N,35,S,N,N
28,8,2007,"Castellón de la Plana, Almazora",Les Useres,Castellón,5775,3,Motores y máquinas (sin especificar),33,S,47,N,22,N,N,N
28,8,2007,Segovia,Espirdo,Segovia,625,3,Líneas eléctricas,"33,3",S,19,S,55,S,S,S
24,8,2007,Coria,Alcántara,Cáceres,616,3,Motores y máquinas (sin especificar),"30,9",S,27,S,49,S,S,S
24,8,2007,Plasencia,Jaráiz de la Vera,Cáceres,607,4,Provocados por pastores y ganaderos para regenerar el pasto,"29,3",N,33,N,43,S,N,N
19,8,2007,Ciudad Real,Villanueva de San Carlos,Ciudad Real,721,4,Provocados por venganzas,34,S,30,S,35,S,S,S
1,8,2007,Alcañiz,Torres de Arcas,Teruel,1436,5,Causa desconocida,"37,2",S,39,N,43,S,N,S
31,7,2007,Vitigudino,Puertas,Salamanca,670,3,Motores y máquinas (sin especificar),"35,7",S,11,S,54,S,S,S
31,7,2007,Vitigudino,Aldeadabila de la Ribera,Salamanca,571,3,Líneas eléctricas,"35,7",S,11,S,54,S,S,S
30,7,2007,Puerto de la Cruz,Los Realejos,S.C. Tenerife,16821,4,Sin datos,"29,1",N,56,N,37,S,N,N
29,7,2007,Moguer / Huelva Ronda Este,Niebla,Huelva,1010,2,Otras negligencias (sin especificar),"33,4",S,20,S,"5,3",N,N,S
27,7,2007,Gran Canaria Aeropuerto,Tejeda,Las Palmas,18673,4,Otras motivaciones,"26,8",N,60,N,72,S,N,N
27,7,2007,Córdoba Aeropuerto,Obejo,Córdoba,2125,2,Otras negligencias (sin especificar),"41,2",S,13,S,15,N,N,S
7,3,2007,"Castellón de la Plana, Almazora",Gaibiel,Castellón,1045,1,Rayo,"22,6",N,49,N,79,S,N,N
