pais,fecha,pais_esp,lat,long,var_casos
"Korea, South",2020-04-04,Corea del Sur,36.504,128.103,94
Costa Rica,2020-04-04,Costa Rica,9.971,-83.946,19
Croatia,2020-04-04,Croacia,45.723,16.693,47
Cuba,2020-04-04,Cuba,21.297,-77.781,19
Denmark,2020-04-04,Dinamarca,56.058,9.264,323
Dominica,2020-04-04,Dominica,15.475,-61.356,2
Ecuador,2020-04-04,Ecuador,-1.385,-78.497,97
Egypt,2020-04-04,Egipto,26.494,29.872,85
El Salvador,2020-04-04,El Salvador,13.736,-88.866,10
United Arab Emirates,2020-04-04,Emiratos Árabes Unidos,23.549,54.163,241
Eritrea,2020-04-04,Eritrea,16.045,38.219,7
Slovakia,2020-04-04,Eslovaquia,48.707,19.491,21
Slovenia,2020-04-04,Eslovenia,46.124,14.827,43
Spain,2020-04-04,España,40.227,-3.649,6969
US,2020-04-04,Estados Unidos,39.622,-98.606,33264
Estonia,2020-04-04,Estonia,58.674,25.793,78
Ethiopia,2020-04-04,Etiopía,8.626,39.616,3
Philippines,2020-04-04,Filipinas,11.118,122.466,76
Finland,2020-04-04,Finlandia,64.504,26.272,267
Fiji,2020-04-04,Fiyi,-17.819,177.974,5
France,2020-04-04,Francia,46.565,2.55,25646
Georgia,2020-04-04,Georgia,42.176,43.518,7
Greece,2020-04-04,Grecia,39.666,21.766,60
Guatemala,2020-04-04,Guatemala,15.256,-90.398,11
Guinea,2020-04-04,Guinea,10.439,-10.942,38
Guinea-Bissau,2020-04-04,Guinea-Bisáu,12.125,-14.651,3
Haiti,2020-04-04,Haití,19.142,-72.278,2
Honduras,2020-04-04,Honduras,14.819,-86.863,42
Hungary,2020-04-04,Hungría,47.07,19.134,55
India,2020-04-04,India,21,78.5,515
Indonesia,2020-04-04,Indonesia,-0.976,114.252,106
Iraq,2020-04-04,Irak,33.048,43.772,58
Iran,2020-04-04,Irán,32.565,54.301,2560
Ireland,2020-04-04,Irlanda,53.177,-8.152,331
Iceland,2020-04-04,Islandia,64.764,-18.48,53
Israel,2020-04-04,Israel,31.026,34.851,423
Italy,2020-04-04,Italia,42.7,12.8,4805
Jamaica,2020-04-04,Jamaica,18.151,-77.32,6
Japan,2020-04-04,Japón,36.491,139.068,522
Jordan,2020-04-04,Jordania,30.703,36.319,13
Kazakhstan,2020-04-04,Kazajistán,48.16,67.301,67
Kenya,2020-04-04,Kenia,0.53,37.858,4
Kyrgyzstan,2020-04-04,Kirguistán,41.465,74.555,14
Kosovo,2020-04-04,Kosovo,42.516245,20.87686,9
Kuwait,2020-04-04,Kuwait,29.476,47.376,62
Latvia,2020-04-04,Letonia,56.858,25.641,16
Lebanon,2020-04-04,Líbano,33.92,35.888,12
Liberia,2020-04-04,Liberia,6.682,-9.657,3
Libya,2020-04-04,Libia,27.044,18.023,7
Liechtenstein,2020-04-04,Liechtenstein,47.153,9.555,2
Lithuania,2020-04-04,Lituania,55.336,23.897,75
Luxembourg,2020-04-04,Luxemburgo,49.771,6.088,117
North Macedonia,2020-04-04,Macedonia del Norte,41.6,21.698,53
Malaysia,2020-04-04,Malasia,4.201,102.195,150
Malawi,2020-04-04,Malaui,-13.4,33.808,1
Mali,2020-04-04,Mali,17.35,-3.524,2
Malta,2020-04-04,Malta,35.89,14.442,11
Morocco,2020-04-04,Marruecos,32.706,-5.758,128
Mauritius,2020-04-04,Mauricio,-20.255,57.583,10
Mexico,2020-04-04,México,23.951,-102.535,178
Moldova,2020-04-04,Moldavia,47.193,28.599,161
Monaco,2020-04-04,Mónaco,43.75,7.412,2
Montenegro,2020-04-04,Montenegro,42.792,19.254,27
Nepal,2020-04-04,Nepal,28.253,83.939,3
Niger,2020-04-04,Níger,17.426,9.398,24
Nigeria,2020-04-04,Nigeria,9.594,8.105,4
Norway,2020-04-04,Noruega,61.152,8.74,180
New Zealand,2020-04-04,Nueva Zelanda,-42.634,172.235,82
Oman,2020-04-04,Omán,21.656,57.407,25
Netherlands,2020-04-04,Países Bajos,52.077,5.389,906
Pakistan,2020-04-04,Pakistán,29.967,69.386,132
Panama,2020-04-04,Panamá,8.384,-80.92,198
Paraguay,2020-04-04,Paraguay,-23.236,-58.391,4
Peru,2020-04-04,Perú,-9.326,-75.552,151
Poland,2020-04-04,Polonia,52.125,19.401,244
Portugal,2020-04-04,Portugal,40.309,-8.058,638
Qatar,2020-04-04,Qatar,25.316,51.191,250
United Kingdom,2020-04-04,Reino Unido,53,-1.6,3788
Czechia,2020-04-04,República Checa,49.743,15.338,381
Rwanda,2020-04-04,Ruanda,-1.998,29.917,13
Romania,2020-04-04,Rumanía,45.844,24.969,430
Russia,2020-04-04,Rusia,61.988,96.689,582
San Marino,2020-04-04,San Marino,43.942,12.46,14
Saint Vincent and the Grenadines,2020-04-04,San Vicente y las Granadinas,13.248,-61.194,4
Saint Lucia,2020-04-04,Santa Lucía,13.898,-60.969,1
Senegal,2020-04-04,Senegal,15.013,-14.881,12
Serbia,2020-04-04,Serbia,44.032,20.806,148
Sierra Leone,2020-04-04,Sierra Leona,8.56,-11.792,2
Singapore,2020-04-04,Singapur,1.351,103.808,75
Sri Lanka,2020-04-04,Sri Lanka,7.612,80.704,7
South Africa,2020-04-04,Sudáfrica,-30.558,23.121,80
Sweden,2020-04-04,Suecia,62.011,15.27,312
Switzerland,2020-04-04,Suiza,46.861,7.908,899
Thailand,2020-04-04,Tailandia,15.7,100.844,89
Taiwan*,2020-04-04,Taiwán,23.754,120.946,7
Togo,2020-04-04,Togo,8.799,1.081,1
Trinidad and Tobago,2020-04-04,Trinidad y Tobago,10.468,-61.253,5
Tunisia,2020-04-04,Túnez,35.383,9.596,58
Turkey,2020-04-04,Turquía,39.061,35.179,3013
Ukraine,2020-04-04,Ucrania,49.016,31.388,153
Uruguay,2020-04-04,Uruguay,-32.8,-56.012,31
Uzbekistan,2020-04-04,Uzbekistán,41.75,63.17,39
Venezuela,2020-04-04,Venezuela,7.125,-66.166,2
Vietnam,2020-04-04,Vietnam,21.491,105.314,3
Djibouti,2020-04-04,Yibuti,11.9,42.516,1
Bahamas,2020-04-04,NA,NA,NA,4
Burma,2020-04-04,NA,NA,NA,1
Cabo Verde,2020-04-04,NA,NA,NA,1
Cote d'Ivoire,2020-04-04,NA,NA,NA,27
West Bank and Gaza,2020-04-04,NA,NA,NA,23
Afghanistan,2020-04-05,Afganistán,33.677,65.216,50
Albania,2020-04-05,Albania,41.143,20.068,28
Germany,2020-04-05,Alemania,51.11,9.851,4031
Andorra,2020-04-05,Andorra,42.549,1.576,35
Angola,2020-04-05,Angola,-12.296,17.544,4
Saudi Arabia,2020-04-05,Arabia Saudí,24.023,44.585,223
Algeria,2020-04-05,Argelia,28.163,2.632,69
Armenia,2020-04-05,Armenia,40.534,44.563,52
Australia,2020-04-05,Australia,-24.973,136.189,137
Austria,2020-04-05,Austria,47.683,14.912,270
Azerbaijan,2020-04-05,Azerbaiyán,40.43,47.395,63
Bahrain,2020-04-05,Bahrein,26.019,50.562,12
Bangladesh,2020-04-05,Bangladesh,24.218,89.941,18
Barbados,2020-04-05,Barbados,13.153,-59.559,4
Belgium,2020-04-05,Bélgica,50.643,4.664,1260
Belize,2020-04-05,Belice,17.219,-88.602,1
Benin,2020-04-05,Benín,10.541,2.469,6
Belarus,2020-04-05,Bielorrusia,53.54,28.047,122
Bolivia,2020-04-05,Bolivia,-16.715,-64.671,18
Bosnia and Herzegovina,2020-04-05,Bosnia-Herzegovina,44.169,17.786,30
Botswana,2020-04-05,Botsuana,-22.182,23.815,2
Brazil,2020-04-05,Brasil,-10.772,-53.089,770
Bulgaria,2020-04-05,Bulgaria,42.761,25.231,28
Burkina Faso,2020-04-05,Burkina Faso,12.278,-1.74,27
Cameroon,2020-04-05,Camerún,5.133,12.277,95
Canada,2020-04-05,Canadá,59.081,-109.433,2778
Chile,2020-04-05,Chile,-23.389,-69.433,310
China,2020-04-05,China,33.42,106.514,59
Cyprus,2020-04-05,Chipre,35.043,33.219,20
Colombia,2020-04-05,Colombia,3.9,-73.076,79
Congo (Brazzaville),2020-04-05,Congo (Brazzaville),-0.055,15.986,23
"Korea, South",2020-04-05,Corea del Sur,36.504,128.103,81
Costa Rica,2020-04-05,Costa Rica,9.971,-83.946,19
Croatia,2020-04-05,Croacia,45.723,16.693,56
Cuba,2020-04-05,Cuba,21.297,-77.781,32
Denmark,2020-04-05,Dinamarca,56.058,9.264,292
Ecuador,2020-04-05,Ecuador,-1.385,-78.497,181
Egypt,2020-04-05,Egipto,26.494,29.872,103
El Salvador,2020-04-05,El Salvador,13.736,-88.866,6
United Arab Emirates,2020-04-05,Emiratos Árabes Unidos,23.549,54.163,294
Slovakia,2020-04-05,Eslovaquia,48.707,19.491,14
Slovenia,2020-04-05,Eslovenia,46.124,14.827,20
Spain,2020-04-05,España,40.227,-3.649,5478
US,2020-04-05,Estados Unidos,39.622,-98.606,28222
Estonia,2020-04-05,Estonia,58.674,25.793,58
Ethiopia,2020-04-05,Etiopía,8.626,39.616,5
Philippines,2020-04-05,Filipinas,11.118,122.466,152
Finland,2020-04-05,Finlandia,64.504,26.272,45
France,2020-04-05,Francia,46.565,2.55,2925
Georgia,2020-04-05,Georgia,42.176,43.518,12
Ghana,2020-04-05,Ghana,7.96,-1.207,9
Greece,2020-04-05,Grecia,39.666,21.766,62
Guinea,2020-04-05,Guinea,10.439,-10.942,10
Guyana,2020-04-05,Guyana,4.792,-58.974,1
Haiti,2020-04-05,Haití,19.142,-72.278,1
Honduras,2020-04-05,Honduras,14.819,-86.863,4
Hungary,2020-04-05,Hungría,47.07,19.134,55
India,2020-04-05,India,21,78.5,506
Indonesia,2020-04-05,Indonesia,-0.976,114.252,181
Iraq,2020-04-05,Irak,33.048,43.772,83
Iran,2020-04-05,Irán,32.565,54.301,2483
Ireland,2020-04-05,Irlanda,53.177,-8.152,390
Iceland,2020-04-05,Islandia,64.764,-18.48,69
Israel,2020-04-05,Israel,31.026,34.851,579
Italy,2020-04-05,Italia,42.7,12.8,4316
Jamaica,2020-04-05,Jamaica,18.151,-77.32,5
Jordan,2020-04-05,Jordania,30.703,36.319,22
Kazakhstan,2020-04-05,Kazajistán,48.16,67.301,53
Kenya,2020-04-05,Kenia,0.53,37.858,16
Kyrgyzstan,2020-04-05,Kirguistán,41.465,74.555,3
Kosovo,2020-04-05,Kosovo,42.516245,20.87686,10
Kuwait,2020-04-05,Kuwait,29.476,47.376,77
Latvia,2020-04-05,Letonia,56.858,25.641,24
Lebanon,2020-04-05,Líbano,33.92,35.888,7
Liberia,2020-04-05,Liberia,6.682,-9.657,3
Lithuania,2020-04-05,Lituania,55.336,23.897,40
Luxembourg,2020-04-05,Luxemburgo,49.771,6.088,75
North Macedonia,2020-04-05,Macedonia del Norte,41.6,21.698,72
Madagascar,2020-04-05,Madagascar,-19.374,46.706,2
Malaysia,2020-04-05,Malasia,4.201,102.195,179
Mali,2020-04-05,Mali,17.35,-3.524,4
Malta,2020-04-05,Malta,35.89,14.442,14
Morocco,2020-04-05,Marruecos,32.706,-5.758,102
Mauritius,2020-04-05,Mauricio,-20.255,57.583,31
Mexico,2020-04-05,México,23.951,-102.535,202
Moldova,2020-04-05,Moldavia,47.193,28.599,112
Monaco,2020-04-05,Mónaco,43.75,7.412,7
Montenegro,2020-04-05,Montenegro,42.792,19.254,13
Namibia,2020-04-05,Namibia,-22.133,17.218,2
Nicaragua,2020-04-05,Nicaragua,12.84,-85.034,1
Niger,2020-04-05,Níger,17.426,9.398,40
Nigeria,2020-04-05,Nigeria,9.594,8.105,18
Norway,2020-04-05,Noruega,61.152,8.74,137
New Zealand,2020-04-05,Nueva Zelanda,-42.634,172.235,89
Oman,2020-04-05,Omán,21.656,57.407,21
Netherlands,2020-04-05,Países Bajos,52.077,5.389,1226
Pakistan,2020-04-05,Pakistán,29.967,69.386,339
Panama,2020-04-05,Panamá,8.384,-80.92,128
Paraguay,2020-04-05,Paraguay,-23.236,-58.391,8
Peru,2020-04-05,Perú,-9.326,-75.552,535
Poland,2020-04-05,Polonia,52.125,19.401,475
Portugal,2020-04-05,Portugal,40.309,-8.058,754
Qatar,2020-04-05,Qatar,25.316,51.191,279
United Kingdom,2020-04-05,Reino Unido,53,-1.6,5959
Czechia,2020-04-05,República Checa,49.743,15.338,115
Dominican Republic,2020-04-05,República Dominicana,19.015,-70.729,257
Rwanda,2020-04-05,Ruanda,-1.998,29.917,2
Romania,2020-04-05,Rumanía,45.844,24.969,251
Russia,2020-04-05,Rusia,61.988,96.689,658
Saint Kitts and Nevis,2020-04-05,San Cristóbal y Nieves,17.34,-62.769,1
San Marino,2020-04-05,San Marino,43.942,12.46,7
Senegal,2020-04-05,Senegal,15.013,-14.881,3
Serbia,2020-04-05,Serbia,44.032,20.806,284
Sierra Leone,2020-04-05,Sierra Leona,8.56,-11.792,2
Singapore,2020-04-05,Singapur,1.351,103.808,120
Sri Lanka,2020-04-05,Sri Lanka,7.612,80.704,10
South Africa,2020-04-05,Sudáfrica,-30.558,23.121,70
Sudan,2020-04-05,Sudán,13.832,30.05,2
Sweden,2020-04-05,Suecia,62.011,15.27,387
Switzerland,2020-04-05,Suiza,46.861,7.908,595
Thailand,2020-04-05,Tailandia,15.7,100.844,102
Taiwan*,2020-04-05,Taiwán,23.754,120.946,8
Tanzania,2020-04-05,Tanzania,-6.27,34.823,2
Togo,2020-04-05,Togo,8.799,1.081,3
Trinidad and Tobago,2020-04-05,Trinidad y Tobago,10.468,-61.253,1
Tunisia,2020-04-05,Túnez,35.383,9.596,21
Turkey,2020-04-05,Turquía,39.061,35.179,3135
Ukraine,2020-04-05,Ucrania,49.016,31.388,83
Uganda,2020-04-05,Uganda,1.28,32.386,4
Uzbekistan,2020-04-05,Uzbekistán,41.75,63.17,76
Venezuela,2020-04-05,Venezuela,7.125,-66.166,4
Vietnam,2020-04-05,Vietnam,21.491,105.314,1
Djibouti,2020-04-05,Yibuti,11.9,42.516,9
Cote d'Ivoire,2020-04-05,NA,NA,NA,16
Laos,2020-04-05,NA,NA,NA,1
Syria,2020-04-05,NA,NA,NA,3
West Bank and Gaza,2020-04-05,NA,NA,NA,20
Afghanistan,2020-04-06,Afganistán,33.677,65.216,18
Albania,2020-04-06,Albania,41.143,20.068,16
Germany,2020-04-06,Alemania,51.11,9.851,3251
Andorra,2020-04-06,Andorra,42.549,1.576,24
Angola,2020-04-06,Angola,-12.296,17.544,2
Saudi Arabia,2020-04-06,Arabia Saudí,24.023,44.585,203
Algeria,2020-04-06,Argelia,28.163,2.632,103
Argentina,2020-04-06,Argentina,-35.377,-65.167,103
Armenia,2020-04-06,Armenia,40.534,44.563,11
Australia,2020-04-06,Australia,-24.973,136.189,110
Austria,2020-04-06,Austria,47.683,14.912,246
Azerbaijan,2020-04-06,Azerbaiyán,40.43,47.395,57
Bahrain,2020-04-06,Bahrein,26.019,50.562,56
Bangladesh,2020-04-06,Bangladesh,24.218,89.941,35
Barbados,2020-04-06,Barbados,13.153,-59.559,4
Belgium,2020-04-06,Bélgica,50.643,4.664,1123
Belize,2020-04-06,Belice,17.219,-88.602,2
Benin,2020-04-06,Benín,10.541,2.469,4
Belarus,2020-04-06,Bielorrusia,53.54,28.047,138
Bolivia,2020-04-06,Bolivia,-16.715,-64.671,26
Bosnia and Herzegovina,2020-04-06,Bosnia-Herzegovina,44.169,17.786,20
Brazil,2020-04-06,Brasil,-10.772,-53.089,1031
Bulgaria,2020-04-06,Bulgaria,42.761,25.231,18
Burkina Faso,2020-04-06,Burkina Faso,12.278,-1.74,19
Cameroon,2020-04-06,Camerún,5.133,12.277,8
Canada,2020-04-06,Canadá,59.081,-109.433,807
Chile,2020-04-06,Chile,-23.389,-69.433,344
China,2020-04-06,China,33.42,106.514,63
Cyprus,2020-04-06,Chipre,35.043,33.219,19
Colombia,2020-04-06,Colombia,3.9,-73.076,94
Congo (Kinshasa),2020-04-06,Congo (Kinshasa),-2.876,23.654,7
"Korea, South",2020-04-06,Corea del Sur,36.504,128.103,47
Costa Rica,2020-04-06,Costa Rica,9.971,-83.946,13
Croatia,2020-04-06,Croacia,45.723,16.693,40
Cuba,2020-04-06,Cuba,21.297,-77.781,30
Denmark,2020-04-06,Dinamarca,56.058,9.264,314
Dominica,2020-04-06,Dominica,15.475,-61.356,1
Ecuador,2020-04-06,Ecuador,-1.385,-78.497,101
Egypt,2020-04-06,Egipto,26.494,29.872,149
El Salvador,2020-04-06,El Salvador,13.736,-88.866,7
United Arab Emirates,2020-04-06,Emiratos Árabes Unidos,23.549,54.163,277
Eritrea,2020-04-06,Eritrea,16.045,38.219,2
Slovakia,2020-04-06,Eslovaquia,48.707,19.491,49
Slovenia,2020-04-06,Eslovenia,46.124,14.827,24
Spain,2020-04-06,España,40.227,-3.649,5029
US,2020-04-06,Estados Unidos,39.622,-98.606,29542
Estonia,2020-04-06,Estonia,58.674,25.793,11
Eswatini,2020-04-06,Esuatini,-26.632018,31.5038,1
Ethiopia,2020-04-06,Etiopía,8.626,39.616,1
Philippines,2020-04-06,Filipinas,11.118,122.466,414
Finland,2020-04-06,Finlandia,64.504,26.272,249
Fiji,2020-04-06,Fiyi,-17.819,177.974,2
France,2020-04-06,Francia,46.565,2.55,5190
Gabon,2020-04-06,Gabón,-0.591,11.797,3
Georgia,2020-04-06,Georgia,42.176,43.518,14
Greece,2020-04-06,Grecia,39.666,21.766,20
Guatemala,2020-04-06,Guatemala,15.256,-90.398,9
Guinea,2020-04-06,Guinea,10.439,-10.942,7
Guyana,2020-04-06,Guyana,4.792,-58.974,7
Haiti,2020-04-06,Haití,19.142,-72.278,3
Honduras,2020-04-06,Honduras,14.819,-86.863,30
Hungary,2020-04-06,Hungría,47.07,19.134,11
India,2020-04-06,India,21,78.5,1190
Indonesia,2020-04-06,Indonesia,-0.976,114.252,218
Iraq,2020-04-06,Irak,33.048,43.772,70
Iran,2020-04-06,Irán,32.565,54.301,2274
Ireland,2020-04-06,Irlanda,53.177,-8.152,370
Iceland,2020-04-06,Islandia,64.764,-18.48,76
Israel,2020-04-06,Israel,31.026,34.851,474
Italy,2020-04-06,Italia,42.7,12.8,3599
Japan,2020-04-06,Japón,36.491,139.068,515
Jordan,2020-04-06,Jordania,30.703,36.319,4
Kazakhstan,2020-04-06,Kazajistán,48.16,67.301,78
Kenya,2020-04-06,Kenia,0.53,37.858,16
Kyrgyzstan,2020-04-06,Kirguistán,41.465,74.555,69
Kuwait,2020-04-06,Kuwait,29.476,47.376,109
Latvia,2020-04-06,Letonia,56.858,25.641,9
Lebanon,2020-04-06,Líbano,33.92,35.888,14
Liberia,2020-04-06,Liberia,6.682,-9.657,1
Libya,2020-04-06,Libia,27.044,18.023,1
Lithuania,2020-04-06,Lituania,55.336,23.897,32
Luxembourg,2020-04-06,Luxemburgo,49.771,6.088,39
North Macedonia,2020-04-06,Macedonia del Norte,41.6,21.698,15
Madagascar,2020-04-06,Madagascar,-19.374,46.706,10
Malaysia,2020-04-06,Malasia,4.201,102.195,131
Malawi,2020-04-06,Malaui,-13.4,33.808,1
Mali,2020-04-06,Mali,17.35,-3.524,2
Malta,2020-04-06,Malta,35.89,14.442,14
Morocco,2020-04-06,Marruecos,32.706,-5.758,99
Mauritius,2020-04-06,Mauricio,-20.255,57.583,17
Mexico,2020-04-06,México,23.951,-102.535,253
Moldova,2020-04-06,Moldavia,47.193,28.599,101
Monaco,2020-04-06,Mónaco,43.75,7.412,4
Mongolia,2020-04-06,Mongolia,46.056,102.876,1
Montenegro,2020-04-06,Montenegro,42.792,19.254,19
Niger,2020-04-06,Níger,17.426,9.398,69
Nigeria,2020-04-06,Nigeria,9.594,8.105,6
Norway,2020-04-06,Noruega,61.152,8.74,178
New Zealand,2020-04-06,Nueva Zelanda,-42.634,172.235,67
Oman,2020-04-06,Omán,21.656,57.407,33
Netherlands,2020-04-06,Países Bajos,52.077,5.389,973
Pakistan,2020-04-06,Pakistán,29.967,69.386,609
Panama,2020-04-06,Panamá,8.384,-80.92,187
Papua New Guinea,2020-04-06,Papúa Nueva Guinea,-5.949,143.459,1
Paraguay,2020-04-06,Paraguay,-23.236,-58.391,9
Peru,2020-04-06,Perú,-9.326,-75.552,280
Poland,2020-04-06,Polonia,52.125,19.401,311
Portugal,2020-04-06,Portugal,40.309,-8.058,452
Qatar,2020-04-06,Qatar,25.316,51.191,228
United Kingdom,2020-04-06,Reino Unido,53,-1.6,3843
Czechia,2020-04-06,República Checa,49.743,15.338,235
Dominican Republic,2020-04-06,República Dominicana,19.015,-70.729,83
Rwanda,2020-04-06,Ruanda,-1.998,29.917,1
Romania,2020-04-06,Rumanía,45.844,24.969,193
Russia,2020-04-06,Rusia,61.988,96.689,954
Senegal,2020-04-06,Senegal,15.013,-14.881,4
Serbia,2020-04-06,Serbia,44.032,20.806,292
Seychelles,2020-04-06,Seychelles,-4.647,55.474,1
Singapore,2020-04-06,Singapur,1.351,103.808,66
Sri Lanka,2020-04-06,Sri Lanka,7.612,80.704,2
South Africa,2020-04-06,Sudáfrica,-30.558,23.121,31
Sweden,2020-04-06,Suecia,62.011,15.27,376
Switzerland,2020-04-06,Suiza,46.861,7.908,557
Thailand,2020-04-06,Tailandia,15.7,100.844,51
Taiwan*,2020-04-06,Taiwán,23.754,120.946,10
Tanzania,2020-04-06,Tanzania,-6.27,34.823,2
Togo,2020-04-06,Togo,8.799,1.081,14
Trinidad and Tobago,2020-04-06,Trinidad y Tobago,10.468,-61.253,1
Tunisia,2020-04-06,Túnez,35.383,9.596,22
Turkey,2020-04-06,Turquía,39.061,35.179,3148
Ukraine,2020-04-06,Ucrania,49.016,31.388,11
Uruguay,2020-04-06,Uruguay,-32.8,-56.012,6
Uzbekistan,2020-04-06,Uzbekistán,41.75,63.17,115
Venezuela,2020-04-06,Venezuela,7.125,-66.166,6
Vietnam,2020-04-06,Vietnam,21.491,105.314,4
Djibouti,2020-04-06,Yibuti,11.9,42.516,31
Zimbabwe,2020-04-06,Zimbabue,-19,29.872,1
Bahamas,2020-04-06,NA,NA,NA,1
Burma,2020-04-06,NA,NA,NA,1
Cote d'Ivoire,2020-04-06,NA,NA,NA,62
Laos,2020-04-06,NA,NA,NA,1
West Bank and Gaza,2020-04-06,NA,NA,NA,17
Afghanistan,2020-04-07,Afganistán,33.677,65.216,56
Albania,2020-04-07,Albania,41.143,20.068,6
Germany,2020-04-07,Alemania,51.11,9.851,4289
Andorra,2020-04-07,Andorra,42.549,1.576,20
Angola,2020-04-07,Angola,-12.296,17.544,1
Antigua and Barbuda,2020-04-07,Antigua y Barbuda,17.078,-61.783,4
Saudi Arabia,2020-04-07,Arabia Saudí,24.023,44.585,190
Algeria,2020-04-07,Argelia,28.163,2.632,45
Argentina,2020-04-07,Argentina,-35.377,-65.167,74
Armenia,2020-04-07,Armenia,40.534,44.563,20
Australia,2020-04-07,Australia,-24.973,136.189,98
Austria,2020-04-07,Austria,47.683,14.912,342
Azerbaijan,2020-04-07,Azerbaiyán,40.43,47.395,76
Bahrain,2020-04-07,Bahrein,26.019,50.562,55
Bangladesh,2020-04-07,Bangladesh,24.218,89.941,41
Barbados,2020-04-07,Barbados,13.153,-59.559,3
Belgium,2020-04-07,Bélgica,50.643,4.664,1380
Belarus,2020-04-07,Bielorrusia,53.54,28.047,161
Bolivia,2020-04-07,Bolivia,-16.715,-64.671,11
Bosnia and Herzegovina,2020-04-07,Bosnia-Herzegovina,44.169,17.786,90
Brazil,2020-04-07,Brasil,-10.772,-53.089,1873
Bulgaria,2020-04-07,Bulgaria,42.761,25.231,28
Burkina Faso,2020-04-07,Burkina Faso,12.278,-1.74,20
Cambodia,2020-04-07,Camboya,12.714,104.564,1
Canada,2020-04-07,Canadá,59.081,-109.433,1309
Chad,2020-04-07,Chad,15.361,18.665,1
Chile,2020-04-07,Chile,-23.389,-69.433,301
China,2020-04-07,China,33.42,106.514,53
Cyprus,2020-04-07,Chipre,35.043,33.219,29
Colombia,2020-04-07,Colombia,3.9,-73.076,201
Congo (Kinshasa),2020-04-07,Congo (Kinshasa),-2.876,23.654,19
"Korea, South",2020-04-07,Corea del Sur,36.504,128.103,47
Costa Rica,2020-04-07,Costa Rica,9.971,-83.946,16
Croatia,2020-04-07,Croacia,45.723,16.693,60
Cuba,2020-04-07,Cuba,21.297,-77.781,46
Denmark,2020-04-07,Dinamarca,56.058,9.264,391
Egypt,2020-04-07,Egipto,26.494,29.872,128
El Salvador,2020-04-07,El Salvador,13.736,-88.866,9
United Arab Emirates,2020-04-07,Emiratos Árabes Unidos,23.549,54.163,283
Slovakia,2020-04-07,Eslovaquia,48.707,19.491,47
Slovenia,2020-04-07,Eslovenia,46.124,14.827,38
Spain,2020-04-07,España,40.227,-3.649,5267
US,2020-04-07,Estados Unidos,39.622,-98.606,29556
Estonia,2020-04-07,Estonia,58.674,25.793,41
Ethiopia,2020-04-07,Etiopía,8.626,39.616,8
Philippines,2020-04-07,Filipinas,11.118,122.466,104
Finland,2020-04-07,Finlandia,64.504,26.272,132
Fiji,2020-04-07,Fiyi,-17.819,177.974,1
France,2020-04-07,Francia,46.565,2.55,11102
Gabon,2020-04-07,Gabón,-0.591,11.797,6
Georgia,2020-04-07,Georgia,42.176,43.518,8
Ghana,2020-04-07,Ghana,7.96,-1.207,73
Greece,2020-04-07,Grecia,39.666,21.766,77
Guatemala,2020-04-07,Guatemala,15.256,-90.398,7
Guinea,2020-04-07,Guinea,10.439,-10.942,16
Guinea-Bissau,2020-04-07,Guinea-Bisáu,12.125,-14.651,15
Guyana,2020-04-07,Guyana,4.792,-58.974,2
Haiti,2020-04-07,Haití,19.142,-72.278,1
Honduras,2020-04-07,Honduras,14.819,-86.863,7
Hungary,2020-04-07,Hungría,47.07,19.134,73
India,2020-04-07,India,21,78.5,533
Indonesia,2020-04-07,Indonesia,-0.976,114.252,247
Iraq,2020-04-07,Irak,33.048,43.772,91
Iran,2020-04-07,Irán,32.565,54.301,2089
Ireland,2020-04-07,Irlanda,53.177,-8.152,345
Iceland,2020-04-07,Islandia,64.764,-18.48,24
Israel,2020-04-07,Israel,31.026,34.851,344
Italy,2020-04-07,Italia,42.7,12.8,3039
Jamaica,2020-04-07,Jamaica,18.151,-77.32,5
Japan,2020-04-07,Japón,36.491,139.068,252
Jordan,2020-04-07,Jordania,30.703,36.319,4
Kazakhstan,2020-04-07,Kazajistán,48.16,67.301,35
Kenya,2020-04-07,Kenia,0.53,37.858,14
Kyrgyzstan,2020-04-07,Kirguistán,41.465,74.555,12
Kosovo,2020-04-07,Kosovo,42.516245,20.87686,25
Kuwait,2020-04-07,Kuwait,29.476,47.376,78
Latvia,2020-04-07,Letonia,56.858,25.641,6
Lebanon,2020-04-07,Líbano,33.92,35.888,7
Libya,2020-04-07,Libia,27.044,18.023,1
Liechtenstein,2020-04-07,Liechtenstein,47.153,9.555,1
Lithuania,2020-04-07,Lituania,55.336,23.897,37
Luxembourg,2020-04-07,Luxemburgo,49.771,6.088,127
North Macedonia,2020-04-07,Macedonia del Norte,41.6,21.698,29
Madagascar,2020-04-07,Madagascar,-19.374,46.706,6
Malaysia,2020-04-07,Malasia,4.201,102.195,170
Malawi,2020-04-07,Malaui,-13.4,33.808,3
Mali,2020-04-07,Mali,17.35,-3.524,9
Malta,2020-04-07,Malta,35.89,14.442,52
Morocco,2020-04-07,Marruecos,32.706,-5.758,64
Mauritius,2020-04-07,Mauricio,-20.255,57.583,24
Mexico,2020-04-07,México,23.951,-102.535,296
Moldova,2020-04-07,Moldavia,47.193,28.599,91
Monaco,2020-04-07,Mónaco,43.75,7.412,2
Montenegro,2020-04-07,Montenegro,42.792,19.254,8
Niger,2020-04-07,Níger,17.426,9.398,25
Nigeria,2020-04-07,Nigeria,9.594,8.105,16
Norway,2020-04-07,Noruega,61.152,8.74,221
