pais,fecha,pais_esp,lat,long,var_casos
China,2020-02-09,China,33.4200,106.5140,3015
"Korea, South",2020-02-09,Corea del Sur,36.5040,128.1030,1
Cruise Ship,2020-02-09,Crucero de Japón,35.4437,139.6380,3
Spain,2020-02-09,España,40.2270,-3.6490,1
Japan,2020-02-09,Japón,36.4910,139.0680,1
Singapore,2020-02-09,Singapur,1.3510,103.8080,7
Taiwan*,2020-02-09,Taiwán,23.7540,120.9460,1
China,2020-02-10,China,33.4200,106.5140,2525
"Korea, South",2020-02-10,Corea del Sur,36.5040,128.1030,2
Cruise Ship,2020-02-10,Crucero de Japón,35.4437,139.6380,71
United Arab Emirates,2020-02-10,Emiratos Árabes Unidos,23.5490,54.1630,1
Malaysia,2020-02-10,Malasia,4.2010,102.1950,2
United Kingdom,2020-02-10,Reino Unido,53.0000,-1.6000,5
Singapore,2020-02-10,Singapur,1.3510,103.8080,5
Vietnam,2020-02-10,Vietnam,21.4910,105.3140,1
Germany,2020-02-11,Alemania,51.1100,9.8510,2
China,2020-02-11,China,33.4200,106.5140,2032
"Korea, South",2020-02-11,Corea del Sur,36.5040,128.1030,1
US,2020-02-11,Estados Unidos,39.6220,-98.6060,1
Singapore,2020-02-11,Singapur,1.3510,103.8080,2
Thailand,2020-02-11,Tailandia,15.7000,100.8440,1
Vietnam,2020-02-11,Vietnam,21.4910,105.3140,1
China,2020-02-12,China,33.4200,106.5140,373
Cruise Ship,2020-02-12,Crucero de Japón,35.4437,139.6380,40
Japan,2020-02-12,Japón,36.4910,139.0680,2
United Kingdom,2020-02-12,Reino Unido,53.0000,-1.6000,1
Singapore,2020-02-12,Singapur,1.3510,103.8080,3
China,2020-02-13,China,33.4200,106.5140,15136
US,2020-02-13,Estados Unidos,39.6220,-98.6060,1
Malaysia,2020-02-13,Malasia,4.2010,102.1950,1
Singapore,2020-02-13,Singapur,1.3510,103.8080,8
Vietnam,2020-02-13,Vietnam,21.4910,105.3140,1
China,2020-02-14,China,33.4200,106.5140,6463
Cruise Ship,2020-02-14,Crucero de Japón,35.4437,139.6380,43
Japan,2020-02-14,Japón,36.4910,139.0680,1
Singapore,2020-02-14,Singapur,1.3510,103.8080,9
China,2020-02-15,China,33.4200,106.5140,2055
Cruise Ship,2020-02-15,Crucero de Japón,35.4437,139.6380,67
France,2020-02-15,Francia,46.5650,2.5500,1
Japan,2020-02-15,Japón,36.4910,139.0680,14
Malaysia,2020-02-15,Malasia,4.2010,102.1950,3
Singapore,2020-02-15,Singapur,1.3510,103.8080,5
China,2020-02-16,China,33.4200,106.5140,2100
"Korea, South",2020-02-16,Corea del Sur,36.5040,128.1030,1
Cruise Ship,2020-02-16,Crucero de Japón,35.4437,139.6380,70
United Arab Emirates,2020-02-16,Emiratos Árabes Unidos,23.5490,54.1630,1
Japan,2020-02-16,Japón,36.4910,139.0680,16
Singapore,2020-02-16,Singapur,1.3510,103.8080,3
Thailand,2020-02-16,Tailandia,15.7000,100.8440,1
Taiwan*,2020-02-16,Taiwán,23.7540,120.9460,2
Canada,2020-02-17,Canadá,59.0810,-109.4330,1
China,2020-02-17,China,33.4200,106.5140,1921
"Korea, South",2020-02-17,Corea del Sur,36.5040,128.1030,1
Cruise Ship,2020-02-17,Crucero de Japón,35.4437,139.6380,99
Japan,2020-02-17,Japón,36.4910,139.0680,7
Singapore,2020-02-17,Singapur,1.3510,103.8080,2
Thailand,2020-02-17,Tailandia,15.7000,100.8440,1
Taiwan*,2020-02-17,Taiwán,23.7540,120.9460,2
China,2020-02-18,China,33.4200,106.5140,1777
"Korea, South",2020-02-18,Corea del Sur,36.5040,128.1030,1
Cruise Ship,2020-02-18,Crucero de Japón,35.4437,139.6380,88
Japan,2020-02-18,Japón,36.4910,139.0680,8
Singapore,2020-02-18,Singapur,1.3510,103.8080,4
China,2020-02-19,China,33.4200,106.5140,408
