ID_ACCIDENTE,ANIO,MES,HORA,DIASEMANA,PROVINCIA,COMUNIDAD_AUTONOMA,ISLA,MUNICIPIO,TOT_VICTIMAS,TOT_MUERTOS,TOT_HERIDOS_GRAVES,TOT_HERIDOS_LEVES,TOT_VEHICULOS_IMPLICADOS,ZONA,ZONA_AGRUPADA,CARRETERA,RED_CARRETERA,TIPO_VIA,TRAZADO_NO_INTERSEC,TIPO_INTERSEC,ACOND_CALZADA,PRIORIDAD,SUPERFICIE_CALZADA,LUMINOSIDAD,FACTORES_ATMOSFERICOS,VISIBILIDAD_RESTRINGIDA,OTRA_CIRCUNSTANCIA,ACERAS,TIPO_ACCIDENTE,DENSIDAD_CIRCULACION,MEDIDAS_ESPECIALES,COD_ANIMAL
2013330004624,2013,11,02:40,SÁBADO,Asturias,"Asturias, Principado de",,Oviedo,2,0,0,2,1,CARRETERA,VÍAS INTERURBANAS,A-63,TITULARIDAD ESTATAL,AUTOVÍA,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Canino
2013330004465,2013,11,19:30,LUNES,Asturias,"Asturias, Principado de",,Oviedo,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,A-63,TITULARIDAD ESTATAL,AUTOVÍA,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2013330001046,2013,3,20:15,SÁBADO,Asturias,"Asturias, Principado de",,Oviedo,1,0,0,1,2,CARRETERA,VÍAS INTERURBANAS,A-66,TITULARIDAD ESTATAL,AUTOVÍA,ENLACE DE SALIDA,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2008330003614,2008,9,05:00,LUNES,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,N-621,TITULARIDAD ESTATAL,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,CONFIGURACIÓN DEL TERRENO,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Vacuno
2012330003216,2012,8,22:00,MIÉRCOLES,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,N-621,TITULARIDAD ESTATAL,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Vacuno
2008330001328,2008,4,23:00,LUNES,Asturias,"Asturias, Principado de",,Piloña,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,N-634,TITULARIDAD ESTATAL,VÍA CONVENCIONAL,ENLACE DE SALIDA,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: SIN ILUMINACIÓN,LLOVIZNANDO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Tejón
2012330003809,2012,10,05:00,VIERNES,Asturias,"Asturias, Principado de",,Piloña,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-255,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,NIEBLA INTENSA,FACTORES ATMOSFÉRICOS,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2011330004125,2011,10,21:00,MIÉRCOLES,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-234,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,,EN X Ó +,NADA ESPECIAL,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Equino
2012330003136,2012,8,09:00,JUEVES,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-343,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,PLENO DÍA,BUEN TIEMPO,CONFIGURACIÓN DEL TERRENO,FUERTE DESCENSO,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Canino
2009330001436,2009,4,21:00,MIÉRCOLES,Asturias,"Asturias, Principado de",,Ribadesella,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,N-634,TITULARIDAD ESTATAL,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Otro tipo de accidente,FLUIDA,NINGUNA MEDIDA,Jabalí
