iso3;pais;pais_esp;lat_pais;long_pais;poblacion
IRL;Ireland;Irlanda;53.177;-8.152;4853506
IMN;Isle of Man;Isla de Man;54.229;-4.527;84077
ISR;Israel;Israel;31.026;34.851;8883800
ITA;Italy;Italia;42.7;12.8;60431283
JAM;Jamaica;Jamaica;18.151;-77.32;2934855
JPN;Japan;Japón;36.491;139.068;126529100
JEY;Jersey;Jersey;49.219;-2.129;#N/A
JOR;Jordan;Jordania;30.703;36.319;9956011
KAZ;Kazakhstan;Kazajistán;48.16;67.301;18276499
KEN;Kenya;Kenia;0.53;37.858;51393010
KIR;Kiribati;Kiribati;-1.508;175.036;115847
PRK;Korea, Dem. People’s Rep.;Corea del Norte;39.778;126.451;25549819
KOR;Korea, South;Corea del Sur;36.504;128.103;51635256
OWID_KOS;Kosovo;Kosovo;42.516245;20.87686;
KWT;Kuwait;Kuwait;29.476;47.376;4137309
KGZ;Kyrgyzstan;Kirguistán;41.465;74.555;6315800
LAO;Lao PDR;Laos;19.905;102.471;7061507
LVA;Latvia;Letonia;56.858;25.641;1926542
LBN;Lebanon;Líbano;33.92;35.888;6848925
LSO;Lesotho;Lesotho;-29.581;28.243;2108132
LBR;Liberia;Liberia;6.682;-9.657;4818977
LBY;Libya;Libia;27.044;18.023;6678567
LIE;Liechtenstein;Liechtenstein;47.153;9.555;37910
LTU;Lithuania;Lituania;55.336;23.897;2789533
LUX;Luxembourg;Luxemburgo;49.771;6.088;607728
MAC;Macao SAR;Macao;22.2;113.545;631636
MDG;Madagascar;Madagascar;-19.374;46.706;26262368
MWI;Malawi;Malaui;-13.4;33.808;18143315
MYS;Malaysia;Malasia;4.201;102.195;31528585
MDV;Maldives;Maldivas;3.548;72.92;515696
MLI;Mali;Mali;17.35;-3.524;19077690
MLT;Malta;Malta;35.89;14.442;483530
MHL;Marshall Islands;Islas Marshall;7.595;168.963;58413
MTQ;Martinique;Martinica;14.653;-61.021;#N/A
MRT;Mauritania;Mauritania;20.26;-10.332;4403319
MUS;Mauritius;Mauricio;-20.255;57.583;1265303
MYT;Mayotte;Mayotte;-12.777;45.155;#N/A
MEX;Mexico;México;23.951;-102.535;126190788
FSM;Micronesia, Federated States of;Estados Federados de Micronesia;6.883;158.235;112640
MDA;Moldova;Moldavia;47.193;28.599;3545883
MCO;Monaco;Mónaco;43.75;7.412;38682
MNG;Mongolia;Mongolia;46.056;102.876;3170208
MNE;Montenegro;Montenegro;42.792;19.254;622345
MSR;Montserrat;Montserrat;16.736;-62.187;#N/A
MAR;Morocco;Marruecos;32.706;-5.758;36029138
MOZ;Mozambique;Mozambique;-14.422;37.923;29495962
MMR;Myanmar;Myanmar;21.718;96.041;53708395
NAM;Namibia;Namibia;-22.133;17.218;2448255
NRU;Nauru;Nauru;-0.522;166.93;12704
NPL;Nepal;Nepal;28.253;83.939;28087871
NLD;Netherlands;Países Bajos;52.077;5.389;17231017
ANT;Netherlands Antilles;Antillas Neerlandesas;12.123;-68.87;#N/A
NCL;New Caledonia;Nueva Caledonia;-21.359;165.447;284060
NZL;New Zealand;Nueva Zelanda;-42.634;172.235;4885500
NIC;Nicaragua;Nicaragua;12.84;-85.034;6465513
NER;Niger;Níger;17.426;9.398;22442948
NGA;Nigeria;Nigeria;9.594;8.105;195874740
NIU;Niue;Niue;-19.052;-169.869;#N/A
NFK;Norfolk Island;Isla Norfolk;-29.037;167.953;#N/A
MKD;North Macedonia;Macedonia del Norte;41.6;21.698;2082958
MNP;Northern Mariana Islands;Islas Marianas del Norte;15.005;145.623;56882
NOR;Norway;Noruega;61.152;8.74;5314336
OMN;Oman;Omán;21.656;57.407;4829483
;Others;Otros;35.4437;139.638;
PAK;Pakistan;Pakistán;29.967;69.386;212215030
PLW;Palau;Palaos;7.501;134.57;17907
PSE;occupied Palestinian territory;Territorios Palestinos;32.037;35.278;4569087
PAN;Panama;Panamá;8.384;-80.92;4176873
PNG;Papua New Guinea;Papúa Nueva Guinea;-5.949;143.459;8606316
PRY;Paraguay;Paraguay;-23.236;-58.391;6956071
PER;Peru;Perú;-9.326;-75.552;31989256
PHL;Philippines;Filipinas;11.118;122.466;106651922
PCN;Pitcairn Islands;Islas Pitcairn;-24.366;-128.316;#N/A
POL;Poland;Polonia;52.125;19.401;37978548
PRT;Portugal;Portugal;40.309;-8.058;10281762
PRI;Puerto Rico;Puerto Rico;18.221;-66.466;3195153
QAT;Qatar;Qatar;25.316;51.191;2781677
REU;Reunion;Isla Reunión;-21.122;55.538;#N/A
ROU;Romania;Rumanía;45.844;24.969;19473936
RUS;Russia;Rusia;61.988;96.689;144478050
RWA;Rwanda;Ruanda;-1.998;29.917;12301939
BLM;Saint Barthelemy;San Bartolomé;18.04;-63.043;#N/A
SHN;Saint Helena;Santa Helena;-15.953;-5.71;#N/A
KNA;Saint Kitts and Nevis;San Cristóbal y Nieves;17.34;-62.769;52441
LCA;Saint Lucia;Santa Lucía;13.898;-60.969;181889
MAF;Saint Martin;San Martín;18.094;-63.041;37264
SPM;Saint Pierre and Miquelon;San Pedro y Miquelón;47.042;-56.325;#N/A
VCT;Saint Vincent and the Grenadines;San Vicente y las Granadinas;13.248;-61.194;110210
WSM;Samoa;Samoa;-13.652;-172.414;196130
SMR;San Marino;San Marino;43.942;12.46;33785
STP;Sao Tome and Principe;Santo Tomé y Príncipe;0.201;6.629;211028
SAU;Saudi Arabia;Arabia Saudí;24.023;44.585;33699947
SEN;Senegal;Senegal;15.013;-14.881;15854360
SRB;Serbia;Serbia;44.032;20.806;6982084
